EGeV Fluxele Fluxpos
0.57 17.9152 2.76232
0.73 18.0674 2.72173
0.91 17.3522 2.37782
1.11 16.3837 2.02332
1.33 14.5545 1.5988
1.58 12.556 1.25142
1.85 10.6621 0.959173
2.15 8.61176 0.717697
2.47 7.06834 0.547369
2.82 5.52883 0.400097
3.17 4.36892 0.299923
3.54 3.52588 0.231885
3.92 2.83558 0.179418
4.32 2.25593 0.137494
4.76 1.78178 0.105818
5.24 1.40675 0.0819487
5.74 1.10223 0.0626796
6.26 0.870106 0.0491512
6.81 0.693354 0.0391742
7.39 0.547735 0.0303928
7.99 0.435839 0.0243358
8.62 0.345414 0.0192178
9.28 0.277849 0.0154754
9.96 0.222926 0.0125624
10.67 0.179637 0.0101683
11.41 0.145204 0.00838305
12.19 0.118142 0.00698554
12.99 0.0960372 0.00569571
13.82 0.0788737 0.0046657
14.69 0.0647048 0.00388289
15.59 0.0534199 0.00327795
16.52 0.0436288 0.00270614
17.48 0.0364304 0.002283
18.48 0.0304366 0.00192457
19.51 0.0256177 0.00165873
20.58 0.0213005 0.00144319
21.68 0.0179059 0.00120498
22.83 0.0151267 0.00101043
24.01 0.012814 0.000896387
25.25 0.0109023 0.000758597
26.56 0.00916229 0.000670307
27.95 0.00777842 0.000570113
29.43 0.00656915 0.000502259
31 0.00548587 0.00042389
32.66 0.00466907 0.000366848
34.43 0.00393358 0.000311537
36.32 0.00329974 0.000274463
38.33 0.00279646 0.000232008
40.48 0.0023438 0.000200468
42.78 0.00195167 0.000172359
45.26 0.00163556 0.000144649
47.92 0.00136747 0.000132345
50.8 0.00112277 0.000103246
53.92 0.00093283 8.88983e-05
57.32 0.00076888 7.58345e-05
61.03 0.000621184 6.13559e-05
65.11 0.000515631 5.59345e-05
69.62 0.000414273 4.43959e-05
74.65 0.000335079 3.8896e-05
80.29 0.000265315 3.0593e-05
86.69 0.000207947 2.54958e-05
94.02 0.000160326 2.0683e-05
102.6 0.000122887 1.4789e-05
112.7 8.99992e-05 1.18737e-05
125 6.53914e-05 8.7833e-06
140.1 4.57607e-05 7.06761e-06
158.9 3.02083e-05 4.61154e-06
183.1 1.85967e-05 3.21252e-06
216.2 1.07466e-05 1.87041e-06
261.8 5.89584e-06 1.14208e-06
326.8 3.05279e-06 5.63239e-07
428.5 1.25799e-06 2.452e-07
588.8 4.53457e-07 8.26565e-08
832.3 1.72882e-07 1.88111e-08
