EGeV Fluxele Fluxpos
5.749999999999999556e-01 2.057900000000000063e+01 3.116999999999999993e+00
7.349999999999999867e-01 1.951899999999999835e+01 2.801000000000000156e+00
9.150000000000000355e-01 1.740299999999999869e+01 2.291999999999999815e+00
1.114999999999999991e+00 1.567800000000000082e+01 1.848000000000000087e+00
1.339999999999999858e+00 1.367800000000000082e+01 1.473999999999999977e+00
1.589999999999999858e+00 1.166799999999999926e+01 1.135000000000000009e+00
1.859999999999999876e+00 9.527900000000000702e+00 8.441999999999999504e-01
2.155000000000000249e+00 7.825700000000000323e+00 6.388000000000000345e-01
2.479999999999999982e+00 6.343200000000000394e+00 4.823999999999999955e-01
2.825000000000000178e+00 5.097100000000000186e+00 3.668000000000000149e-01
3.179999999999999716e+00 4.123599999999999710e+00 2.807999999999999940e-01
3.544999999999999929e+00 3.313299999999999912e+00 2.167000000000000037e-01
3.924999999999999822e+00 2.675800000000000178e+00 1.673999999999999932e-01
4.330000000000000071e+00 2.141799999999999926e+00 1.307000000000000106e-01
4.769999999999999574e+00 1.705600000000000005e+00 1.010999999999999954e-01
5.245000000000000107e+00 1.344899999999999984e+00 7.871000000000000218e-02
5.745000000000000107e+00 1.063700000000000090e+00 6.062000000000000027e-02
6.269999999999999574e+00 8.404899999999999594e-01 4.719000000000000278e-02
6.820000000000000284e+00 6.648399999999999865e-01 3.731999999999999901e-02
7.394999999999999574e+00 5.288199999999999568e-01 2.945000000000000048e-02
7.995000000000000995e+00 4.205999999999999739e-01 2.338000000000000148e-02
8.625000000000000000e+00 3.345899999999999985e-01 1.866999999999999910e-02
9.285000000000000142e+00 2.685299999999999909e-01 1.504999999999999914e-02
9.969999999999998863e+00 2.160900000000000043e-01 1.238999999999999997e-02
1.067999999999999972e+01 1.744100000000000095e-01 9.912999999999999937e-03
1.141999999999999993e+01 1.418899999999999884e-01 8.234999999999999265e-03
1.219500000000000028e+01 1.155100000000000016e-01 6.799000000000000356e-03
1.300000000000000000e+01 9.413199999999999346e-02 5.550000000000000246e-03
1.383000000000000007e+01 7.728100000000000247e-02 4.571000000000000410e-03
1.469500000000000028e+01 6.328499999999999404e-02 3.840000000000000097e-03
1.559500000000000064e+01 5.238099999999999701e-02 3.210999999999999879e-03
1.652499999999999858e+01 4.338800000000000295e-02 2.664000000000000135e-03
1.749000000000000199e+01 3.604399999999999965e-02 2.285999999999999838e-03
1.848499999999999943e+01 2.992300000000000168e-02 1.920000000000000049e-03
1.951500000000000057e+01 2.537199999999999872e-02 1.662000000000000066e-03
2.058500000000000085e+01 2.121100000000000069e-02 1.425000000000000051e-03
2.168999999999999773e+01 1.792699999999999849e-02 1.178000000000000011e-03
2.283500000000000085e+01 1.514800000000000001e-02 1.051999999999999984e-03
2.402000000000000313e+01 1.284800000000000005e-02 8.809999999999999472e-04
2.525999999999999801e+01 1.091499999999999936e-02 7.730000000000000326e-04
2.657499999999999929e+01 9.239400000000000043e-03 6.813000000000000262e-04
2.796499999999999986e+01 7.861200000000000479e-03 5.766999999999999774e-04
2.944500000000000028e+01 6.602300000000000182e-03 5.106000000000000512e-04
3.101500000000000057e+01 5.590300000000000304e-03 4.317999999999999790e-04
3.267499999999999716e+01 4.727199999999999978e-03 3.668000000000000253e-04
3.444500000000000028e+01 3.991999999999999889e-03 3.138999999999999863e-04
3.633500000000000085e+01 3.363000000000000104e-03 2.758999999999999842e-04
3.835000000000000142e+01 2.816700000000000106e-03 2.413000000000000106e-04
4.050000000000000000e+01 2.404599999999999793e-03 1.982999999999999954e-04
4.280499999999999972e+01 1.982600000000000161e-03 1.719000000000000042e-04
4.528499999999999659e+01 1.645999999999999894e-03 1.491999999999999945e-04
4.795000000000000284e+01 1.402000000000000034e-03 1.306000000000000032e-04
