bin_low bin_up Fluxele Fluxpos
0.50  0.65  2.0579e1  3.117e0
0.65  0.82  1.9519e1  2.801e0
0.82  1.01  1.7403e1  2.292e0
1.01  1.22  1.5678e1  1.848e0
1.22  1.46  1.3678e1 1.474e0
1.46  1.72  1.1668e1 1.135e0
1.72  2.00  9.5279e0 8.442e-1
2.00  2.31  7.8257e0 6.388e-1
2.31  2.65  6.3432e0 4.824e-1
2.65  3.00  5.0971e0 3.668e-1
3.00  3.36  4.1236e0 2.808e-1
3.36  3.73  3.3133e0 2.167e-1
3.73  4.12  2.6758e0 1.674e-1
4.12  4.54  2.1418e0 1.307e-1
4.54  5.00  1.7056e0 1.011e-1
5.00  5.49  1.3449e0 7.871e-2
5.49  6.00  1.0637e0 6.062e-2
6.00  6.54  8.4049e-1 4.719e-2
6.54  7.10  6.6484e-1 3.732e-2
7.10  7.69  5.2882e-1 2.945e-2
7.69  8.30  4.2060e-1 2.338e-2
8.30  8.95  3.3459e-1 1.867e-2
8.95  9.62  2.6853e-1 1.505e-2
9.62  10.32  2.1609e-1 1.239e-2
10.32  11.04  1.7441e-1 9.913e-3
11.04  11.80  1.4189e-1 8.235e-3
11.80  12.59  1.1551e-1 6.799e-3
12.59  13.41  9.4132e-2 5.550e-3
13.41  14.25  7.7281e-2 4.571e-3
14.25  15.14  6.3285e-2 3.840e-3
15.14  16.05  5.2381e-2 3.211e-3
16.05  17.00  4.3388e-2 2.664e-3
17.00  17.98  3.6044e-2 2.286e-3
17.98  18.99  2.9923e-2 1.920e-3
18.99  20.04  2.5372e-2 1.662e-3
20.04  21.13  2.1211e-2 1.425e-3
21.13  22.25  1.7927e-2 1.178e-3
22.25  23.42  1.5148e-2 1.052e-3
23.42  24.62  1.2848e-2 8.810e-4
24.62  25.90  1.0915e-2 7.730e-4
25.90  27.25  9.2394e-3 6.813e-4
27.25  28.68  7.8612e-3 5.767e-4
28.68  30.21  6.6023e-3 5.106e-4
30.21  31.82  5.5903e-3 4.318e-4
31.82  33.53  4.7272e-3 3.668e-4
33.53  35.36  3.9920e-3 3.139e-4
35.36  37.31  3.3630e-3 2.759e-4
37.31  39.39  2.8167e-3 2.413e-4
39.39  41.61  2.4046e-3 1.983e-4
41.61  44.00  1.9826e-3 1.719e-4
44.00  46.57  1.6460e-3 1.492e-4
46.57  49.33  1.4020e-3 1.306e-4

