EGeV   Fluxpos
0.57   2.669e0
0.73   2.576e0
0.91   2.272e0
1.11   1.929e0
1.33   1.528e0
1.58   1.196e0
1.85   9.239e-1
2.15   7.003e-1
2.47   5.341e-1
2.82   3.983e-1
3.17   3.024e-1
3.54   2.338e-1
3.92   1.809e-1
4.32   1.389e-1
4.76   1.069e-1
5.24   8.208e-2
5.74   6.278e-2
6.26   4.923e-2
6.81   3.890e-2
7.39   3.018e-2
7.99   2.406e-2
8.62   1.900e-2
9.28   1.530e-2
9.96   1.242e-2
10.67	1.007e-2
11.41	8.302e-3
12.19	6.918e-3
12.99	5.668e-3
13.82	4.643e-3
14.69	3.864e-3
15.59	3.262e-3
16.52	2.718e-3
17.48	2.293e-3
18.48	1.933e-3
19.51	1.666e-3
20.58	1.454e-3
21.68	1.214e-3
22.83  1.018e-3
24.01  9.031e-4
25.25  7.647e-4
26.56  6.757e-4
27.95  5.747e-4
29.43  5.063e-4
31.00  4.273e-4
32.66  3.681e-4
34.43  3.126e-4
36.32  2.754e-4
38.33  2.328e-4
40.48  2.004e-4
42.78  1.723e-4
45.26  1.446e-4
47.92  1.323e-4
50.80  1.029e-4
53.92  8.860e-5
57.32  7.558e-5
61.03  6.115e-5
65.11  5.502e-5
69.62  4.367e-5
74.65  3.826e-5
80.29  3.013e-5
86.69  2.511e-5
94.02  2.037e-5
102.6  1.461e-5
112.7  1.173e-5
125.0  8.677e-6
140.1  6.998e-6
158.9  4.595e-6
183.1  3.201e-6
216.2  1.871e-6
261.8  1.158e-6
326.8  5.773e-7
428.5  2.491e-7
588.8  8.312e-8
832    1.927e-8
