RigidityGV Flux
4.999469064870126211e-01 4.587147901755481670e-03
5.353048511140293675e-01 5.515613862119342868e-03
6.764565344362397648e-01 1.021645854055100618e-02
8.544250738508093468e-01 1.766766597145189022e-02
1.079936857509075088e+00 2.760627421200876827e-02
1.244950288766050406e+00 3.444023936665856211e-02
1.420052529176989653e+00 4.053366669532047772e-02
1.610125864165814713e+00 4.532875071412933304e-02
1.815139197649141556e+00 4.837489425763432521e-02
2.034893264680247782e+00 4.961428662595509381e-02
2.275020758980655700e+00 4.970881010544105083e-02
2.534998190051591216e+00 4.870047177832776547e-02
2.820023191073766533e+00 4.669307577390073571e-02
3.130039986148453579e+00 4.399180931034524233e-02
3.465072606538473821e+00 4.010356210877781546e-02
3.828859674375302724e+00 3.509002571642442364e-02
4.225248984130945296e+00 2.960659067746278933e-02
4.655758476804692236e+00 2.451926877533198990e-02
5.124865553808874097e+00 2.010497023013172596e-02
5.634771920848412385e+00 1.645084627204067979e-02
6.185536506851559757e+00 1.346078415704370611e-02
6.779462754163525950e+00 1.101050187536899497e-02
7.425284716319799472e+00 8.995531000536186733e-03
8.120915655377459075e+00 7.350737096913154134e-03
8.870742246559295552e+00 5.986441623739159612e-03
9.679111917586260105e+00 4.889017820885994438e-03
1.055034355933788781e+01 3.991871958602355615e-03
1.149926539243943857e+01 3.251225210339012649e-03
1.250066799869528467e+01 2.660921032385697542e-03
1.355053931116692389e+01 2.183794356457122252e-03
1.469933651105047723e+01 1.786355483702689335e-03
1.594911777266331931e+01 1.457461864174114819e-03
1.729987928609732251e+01 1.186857559941863422e-03
1.874955594150284810e+01 9.668204874187958254e-04
2.030027841021022894e+01 7.877923201743640674e-04
2.195000976393119174e+01 6.430168855142729626e-04
2.374673365436601813e+01 5.232277762426485249e-04
2.570501760172783179e+01 4.241643064144966810e-04
2.774573595130985026e+01 3.461431963282766977e-04
2.995222641599519164e+01 2.818713750325697225e-04
3.230368438461713509e+01 2.299183478322179878e-04
3.480013757402134900e+01 1.878275089200348602e-04
3.750400625914144115e+01 1.532225742051247504e-04
4.039449332974493245e+01 1.252046444377802824e-04
4.349240336776150428e+01 1.022126896367021588e-04
4.679774599659067036e+01 8.346469872860204928e-05
5.035210395550573992e+01 6.815010503256259291e-05
5.415548073680373875e+01 5.567081514670302669e-05
5.820788439258490143e+01 4.600269826227804690e-05
6.255088416477584445e+01 3.761892603632644219e-05
6.724681816039840498e+01 3.093665844508518834e-05
7.229568359668756727e+01 2.529123257211172808e-05
7.769748235474077092e+01 2.019085310242095549e-05
8.349376910572162558e+01 1.675662035195747294e-05
8.974686866480458036e+01 1.370531487262739354e-05
9.649832710468028552e+01 1.115070479199315030e-05
1.039974174394042166e+02 9.012130765849272690e-06
1.119948559699333543e+02 7.294732936995733661e-06
1.204906493213092205e+02 5.920200539470370131e-06
1.300040933853872502e+02 4.765263695360987706e-06
1.409921381523259072e+02 3.779754136432117533e-06
1.534962962011312584e+02 2.966150655630818379e-06
1.674957766444435379e+02 2.313214493690008807e-06
1.835098284881890720e+02 1.784389530138457218e-06
2.014968926050022162e+02 1.369000940359896635e-06
2.220800610492034366e+02 1.040229883149529152e-06
2.459654947063818042e+02 7.807597298358307588e-07
2.750432221206639269e+02 5.718298194281981681e-07
3.105593848390636822e+02 4.089330322365576509e-07
3.545909023276793732e+02 2.847919254866685959e-07
4.100454622218417171e+02 1.928057668097728523e-07
4.829461511369518121e+02 1.251391530196905437e-07
5.840929760073256602e+02 7.643749164540651406e-08
7.325936254657349309e+02 4.295070746551351975e-08
9.760096471716809674e+02 2.095251963539518561e-08
1.464917979405920960e+03 7.717746576607676696e-09
