RigidityGV Flux
5.802089175877901406e-01 2.277256717341622806e-03
6.759033647957540802e-01 3.402873623427281856e-03
8.548126174236473362e-01 6.031043687206981245e-03
1.080184767327982298e+00 9.883554751654487908e-03
1.244989767365356492e+00 1.263746844669693704e-02
1.419966191508850173e+00 1.515936200814675151e-02
1.610062198214561535e+00 1.728290326060221566e-02
1.815131609285170589e+00 1.868619225598670136e-02
2.035151570932649534e+00 1.929126072414460297e-02
2.274968656972749415e+00 1.903178035999770687e-02
2.535127201560476440e+00 1.816225149400742950e-02
2.820039187197648456e+00 1.666370606807484125e-02
3.130105860220965486e+00 1.485090969655923285e-02
3.464987435422038242e+00 1.292540658090370401e-02
3.830956293221424946e+00 1.103004694401516460e-02
4.225787917000410232e+00 9.314329482078434128e-03
4.654931188067069847e+00 7.808133686649613991e-03
5.125557129769251041e+00 6.484402117269402743e-03
5.635158142287808758e+00 5.370851966468689204e-03
6.183839635202887486e+00 4.439896191974823658e-03
6.781081587351025952e+00 3.648134131952447592e-03
7.424607023898867730e+00 2.986742900245868866e-03
8.119157129020138086e+00 2.436022068181636913e-03
8.869415442030462060e+00 1.980111062956506438e-03
9.680025546799777558e+00 1.607869931247739997e-03
1.055107357305266724e+01 1.308655433880420672e-03
1.150074149061896200e+01 1.061021717385963233e-03
1.249974880576050218e+01 8.637260338205723096e-04
1.355057063076416846e+01 7.056886273798361215e-04
1.470051980493206933e+01 5.738176737921423182e-04
1.594955614496505625e+01 4.652877822568247381e-04
1.729992020746574255e+01 3.763944138515277560e-04
1.874940002173620357e+01 3.044366150075839732e-04
2.030027865704529688e+01 2.462349814651713562e-04
2.195037761893240003e+01 1.993217060273919029e-04
2.375106533088090899e+01 1.606789320894227708e-04
2.569786302896616803e+01 1.292733150967728185e-04
2.774844071552690394e+01 1.043990660537737257e-04
2.995410403462826565e+01 8.425864488427687107e-05
3.229259962640678339e+01 6.818236966334792492e-05
3.480849227165373350e+01 5.514601165746174270e-05
3.750179059483645005e+01 4.464536922895362197e-05
4.039476221192208527e+01 3.611036430782752166e-05
4.350966336473193508e+01 2.919320843608026820e-05
4.680201064892114715e+01 2.371781130692215999e-05
5.036079661131192609e+01 1.923076123291583123e-05
5.414154158991817667e+01 1.563278839391567162e-05
5.821097175967541659e+01 1.277001401866347959e-05
6.254685420288409858e+01 1.042621976364701292e-05
6.726036388563586854e+01 8.472095795927791451e-06
7.230703001587565382e+01 6.862557031766604455e-06
7.770908857515149748e+01 5.564982907247341260e-06
8.351100303205470254e+01 4.517441130363313667e-06
8.975723200479264108e+01 3.661961934185723015e-06
9.649223074168288861e+01 2.964139211393470271e-06
1.040049451587204459e+02 2.383301347822329684e-06
1.120064163126063335e+02 1.921385948829037938e-06
1.204966526229926984e+02 1.552058502972544339e-06
1.300090643765767879e+02 1.243266118317125047e-06
1.410103498043459354e+02 9.811652568143571561e-07
1.535004747732924102e+02 7.665745629733198882e-07
1.675016412771315117e+02 5.951173602529564405e-07
1.835027564654716059e+02 4.571621114817311754e-07
2.015037993570001618e+02 3.491622472364529359e-07
2.219936695175080956e+02 2.644882555867076719e-07
2.460612800899085926e+02 1.971681723626299960e-07
2.749510837875685070e+02 1.439048605538502130e-07
3.105075315786712622e+02 1.021781249051967707e-07
3.545083879357245564e+02 7.057584326265837466e-08
4.100647622395921985e+02 4.718398178223722114e-08
4.829544396353145999e+02 3.015342469442934237e-08
5.840663186983020978e+02 1.802711528008176076e-08
7.325115064893288945e+02 9.837562491162004941e-09
9.760677918519435252e+02 4.606981996284279423e-09
1.464957413244768532e+03 1.593122965082140120e-09
