RigidityGV Flux
3.801665108710918783e-01 8.642234005234296010e-03
4.232011159145849799e-01 1.177928751682522611e-02
5.352794680510242209e-01 2.244238455921258174e-02
6.763360334284004294e-01 4.142237311778008274e-02
8.548308338572389031e-01 7.054520264833259724e-02
1.080001822031588121e+00 1.093346457629085638e-01
1.245204143857142842e+00 1.349388036037616756e-01
1.420141269991814337e+00 1.568441181063768008e-01
1.609953256680030975e+00 1.727871551393375671e-01
1.814874349664416187e+00 1.819747107675191433e-01
2.035156967363110692e+00 1.838258779700383816e-01
2.275035432184114637e+00 1.794723773362009445e-01
2.535075169652430738e+00 1.698646366831018661e-01
2.820045222149019537e+00 1.561618815765339896e-01
3.130044029492251134e+00 1.404065003445084947e-01
3.464983545983124635e+00 1.241882577793167741e-01
3.830182087895250831e+00 1.073997133276076293e-01
4.225932582967116602e+00 9.145887795230941975e-02
4.653957413107109531e+00 7.700634930389740895e-02
5.124050746977300008e+00 6.411865366315680492e-02
5.636033672675769601e+00 5.272556666054319802e-02
6.185163890640964723e+00 4.323110190402717351e-02
6.781110156215600426e+00 3.518172167309842335e-02
7.423939813162523826e+00 2.851870243739432903e-02
8.120764257129959418e+00 2.302705290236250341e-02
8.869345019341754011e+00 1.852438998438766388e-02
9.679046219316175481e+00 1.487192182605785382e-02
1.054994320129206287e+01 1.189700823370748797e-02
1.150044473468539330e+01 9.475450212273533665e-03
1.250088623388649012e+01 7.567455452184285516e-03
1.354922064997394138e+01 6.082607134427488529e-03
1.470020598222006214e+01 4.862493068775885011e-03
1.594924433074784531e+01 3.878255270023180622e-03
1.730087563197298905e+01 3.089125178057927634e-03
1.875059196794268601e+01 2.459843680237893543e-03
2.030070917376040285e+01 1.962927177510458750e-03
2.194902420373394492e+01 1.568849492926942951e-03
2.374981371128194141e+01 1.248791672317806859e-03
2.570305351375768055e+01 9.920555835844966329e-04
2.775684703069910597e+01 7.921889295406508167e-04
2.994510643464515098e+01 6.334415234993679821e-04
3.229041547959016611e+01 5.065032209388257729e-04
3.479279313985325928e+01 4.054135426078783635e-04
3.749733466946377547e+01 3.240189391518238276e-04
4.040403928282427160e+01 2.586392425208000612e-04
4.349038969831902079e+01 2.071621604924931759e-04
4.680145673044869170e+01 1.660941666908752811e-04
5.035976795352524960e+01 1.332448243964617679e-04
5.414281154789173200e+01 1.069520235093822684e-04
5.819563361260227197e+01 8.699861883957310104e-05
6.254075330248078046e+01 6.946572435014483344e-05
6.724570847712213606e+01 5.618529704974055704e-05
7.231049458009017883e+01 4.500400740824915595e-05
7.769009653473133881e+01 3.616101893210074138e-05
8.349706164401443687e+01 2.905888580515077590e-05
8.975389452422855641e+01 2.327826576362331711e-05
9.650560587017326952e+01 1.859946334065589146e-05
1.039997452869640995e+02 1.477732173081740861e-05
1.119887514023550494e+02 1.175441714456598148e-05
1.204951355744625232e+02 9.371671964475433597e-06
1.299914668722508111e+02 7.409684856229634536e-06
1.409952852533628800e+02 5.761796395123280765e-06
1.535065546543246739e+02 4.428682183359921988e-06
1.675027500194184427e+02 3.381346561840071977e-06
1.835013930829998117e+02 2.551032315545585595e-06
2.015024622240199790e+02 1.911509752234456227e-06
2.220009685765169536e+02 1.418741104967082813e-06
2.459869332030678493e+02 1.035502946999024930e-06
2.750128755162072594e+02 7.361937695587552266e-07
3.105637896827338977e+02 5.084768528849074697e-07
3.544396650993932667e+02 3.407407350422252130e-07
4.100155050016406335e+02 2.197462361807132851e-07
4.829163136284189477e+02 1.346543107624331449e-07
5.839421004579717192e+02 7.655419561431019940e-08
7.324428630231378747e+02 3.922017879354437865e-08
9.758936110687004657e+02 1.691202689361149865e-08
1.465044362490238882e+03 5.167684211379940358e-09
