RigidityGV Flux
4.002449482310152518e-01 2.475534486650241700e-02
4.236868502283921423e-01 2.919901693268937143e-02
5.348247936726344687e-01 5.621325922909472389e-02
6.761984549063330130e-01 1.048903954539912864e-01
8.543012938444470850e-01 1.841128503321360355e-01
1.079804998679054107e+00 2.984240279737854218e-01
1.244873219271758868e+00 3.756445529757975743e-01
1.420106804509739806e+00 4.445732200975672233e-01
1.610036152948898236e+00 5.000181354156103541e-01
1.814948698690446394e+00 5.296791374493492466e-01
2.035145148348398436e+00 5.421805011027565069e-01
2.275069688860968942e+00 5.293251889743374461e-01
2.535003500365649920e+00 5.028503042430181313e-01
2.819899072545583696e+00 4.601507047877399503e-01
3.129880909964326552e+00 4.130343628423335245e-01
3.464888335973352440e+00 3.603479721886017062e-01
3.830114457614895329e+00 3.090330620093209579e-01
4.225136348108478046e+00 2.614403536613444934e-01
4.654091346811147112e+00 2.180903177376057600e-01
5.124092947930098063e+00 1.799956996221223349e-01
5.635022766928376114e+00 1.472607741276504290e-01
6.184608871729431634e+00 1.197309982424614311e-01
6.779949143170487247e+00 9.717742259561071294e-02
7.425702165582295677e+00 7.822921893606600563e-02
8.119673929267728241e+00 6.290025456781678237e-02
8.871062350762134230e+00 5.042917575975388450e-02
9.679942910594652616e+00 4.029403295168100529e-02
1.055091445356457847e+01 3.227728770422353538e-02
1.149971924139374302e+01 2.571254017969345010e-02
1.249961256661887354e+01 2.056343771070576892e-02
1.355080620998334062e+01 1.652369591036713728e-02
1.470013280546952217e+01 1.321663128135647236e-02
1.594977578688307140e+01 1.053988245595481078e-02
1.729973283957656349e+01 8.394102848573031794e-03
1.875003085504363298e+01 6.689457665025164493e-03
2.030071489098191151e+01 5.338853733850973220e-03
2.194963054353655352e+01 4.268403403143326488e-03
2.374983814142307281e+01 3.400880905136521078e-03
2.570573069352589357e+01 2.702613066999276330e-03
2.775774278688426833e+01 2.159029406949870746e-03
2.994123856002288164e+01 1.728334755445180143e-03
3.230034398260201556e+01 1.380993120186068193e-03
3.479098480973565444e+01 1.108029082328001362e-03
3.750133630844569410e+01 8.859782870135276839e-04
4.040935737465991195e+01 7.089629068812458189e-04
4.349303497052893164e+01 5.693274963914365331e-04
4.679643773529533490e+01 4.573542262211614177e-04
5.034159339309042736e+01 3.665936472686037511e-04
5.415052392635158895e+01 2.938735270401884522e-04
5.820122002602402489e+01 2.401285448180630485e-04
6.255973139559033314e+01 1.899060711829383898e-04
6.724806966326789848e+01 1.532719522111377556e-04
7.231025416363738145e+01 1.245378013515329862e-04
7.770226811593411753e+01 1.002264227548113271e-04
8.349014058416163664e+01 8.029954514559519460e-05
8.973989137664943883e+01 6.441353197087466712e-05
9.649552891300203328e+01 5.151318953445406258e-05
1.039990984449420637e+02 4.090673714590325517e-05
1.120085418211436945e+02 3.254355119483087007e-05
1.205018628328597572e+02 2.597881361428077345e-05
1.300071366050134429e+02 2.055397161535862878e-05
1.410083964903757874e+02 1.599997354451505435e-05
1.535056086397059119e+02 1.231638985498371630e-05
1.674987512592652195e+02 9.415201009198940758e-06
1.834938439181663625e+02 7.113111896777792750e-06
2.014908659448365995e+02 5.337502934613047705e-06
2.219958284513423052e+02 3.967188254642804684e-06
2.460207520767552012e+02 2.899085271185499739e-06
2.750616531571614587e+02 2.064705078875020507e-06
3.104825240234453076e+02 1.430490665724569371e-06
3.544833634660150210e+02 9.595077930675823055e-07
4.099241645834544556e+02 6.207662826623056811e-07
4.829649392500359681e+02 3.810013215366161356e-07
5.839456910826742160e+02 2.173275108528649758e-07
7.324464201246938728e+02 1.117239868135751894e-07
9.759871354856013568e+02 4.835563900668048310e-08
1.465047853679008767e+03 1.488536649770031545e-08
