RigidityGV Flux
5.397011583185642447e-01 4.007569850225718711e-03
6.764260292419267406e-01 7.203858424806912353e-03
8.544511262385929840e-01 1.248151960891302065e-02
1.079979472609364111e+00 1.988617790667770308e-02
1.245153269675344010e+00 2.499921834443635110e-02
1.419879350992048206e+00 2.927347323320222960e-02
1.609858877481128658e+00 3.274152821549727865e-02
1.815052194310675882e+00 3.456828599405382951e-02
2.035016146035210305e+00 3.500346907910147076e-02
2.274897264776059913e+00 3.401075324674873723e-02
2.535057498569213585e+00 3.201705475071459778e-02
2.819972164206448362e+00 2.906611151945743751e-02
3.129898798455566844e+00 2.576510378144985028e-02
3.466036176609817332e+00 2.237757667945807286e-02
3.829915805944563711e+00 1.907153726744970079e-02
4.224435415055602050e+00 1.607349875620873308e-02
4.653958011048230148e+00 1.352506245845993584e-02
5.124876068351311709e+00 1.128064367897304437e-02
5.635011913524939686e+00 9.384963820718846689e-03
6.184480804192378223e+00 7.788911238794766004e-03
6.779680614084413470e+00 6.430649143783480001e-03
7.424831203821942616e+00 5.287360770346102509e-03
8.120014676476392523e+00 4.333359327113794554e-03
8.869443553955344228e+00 3.546717745306160983e-03
9.679333143070136813e+00 2.895968730948920381e-03
1.054975780572236665e+01 2.370004367632552213e-03
1.149905211414332129e+01 1.935914497302127380e-03
1.250093180548330274e+01 1.586000347109557413e-03
1.354951214422925254e+01 1.305865547280328498e-03
1.469940176554052869e+01 1.070157702814009647e-03
1.595056032745633701e+01 8.741307760802014947e-04
1.730097288823007062e+01 7.129613208915355858e-04
1.875066603145392108e+01 5.811503794092000253e-04
2.029968019431261794e+01 4.740800118924435062e-04
2.194404887615409905e+01 3.875021539313408363e-04
2.375003238562507946e+01 3.147664974702205228e-04
2.569554109629917704e+01 2.554459606374079230e-04
2.774050150536864479e+01 2.081949930377660911e-04
2.994509261141397971e+01 1.695468615695626207e-04
3.230932180411715393e+01 1.381481927110915703e-04
3.479314726389551282e+01 1.130299883090895332e-04
3.749673628978820972e+01 9.217641797450238706e-05
4.040005647884071749e+01 7.519682689481110361e-05
4.350311586369326022e+01 6.140108424495137795e-05
4.680592709748542291e+01 5.016946890120951386e-05
5.034853292161431426e+01 4.096790313447452999e-05
5.415095084193887232e+01 3.346593794182933963e-05
5.819317503893253019e+01 2.738937970847095239e-05
6.255525299713589504e+01 2.239536119494518073e-05
6.725719118341532976e+01 1.830088474531446058e-05
7.229898952372873566e+01 1.506127478716333022e-05
7.770065738376888476e+01 1.226744551949027719e-05
8.350220847429748972e+01 1.006094603004590495e-05
8.974365332349469782e+01 8.291374679506087028e-06
9.650500770041438159e+01 6.763891715089633305e-06
1.040063042949178111e+02 5.481275870519184045e-06
1.120074959234382561e+02 4.445220982756343147e-06
1.205085886611947643e+02 3.613342529076850661e-06
1.300096408557113250e+02 2.914385987645695003e-06
1.409906803111119018e+02 2.316408164281437640e-06
1.534916826334253130e+02 1.821769856701032413e-06
1.674926276140420214e+02 1.423817656167582419e-06
1.834935310166550835e+02 1.101065732668467524e-06
2.014943758454616329e+02 8.464399481904501944e-07
2.220551732541459842e+02 6.446905167965524870e-07
2.460559355081376509e+02 4.840689842649774094e-07
2.750566790860763149e+02 3.551650056375946899e-07
3.104573984766644230e+02 2.541360296483735119e-07
3.544580923376336159e+02 1.766078948597545631e-07
4.100587561591640906e+02 1.187103196711752239e-07
4.830593956943729381e+02 7.622795567501864274e-08
5.840600169239945672e+02 4.582816976887096646e-08
7.324606189030687347e+02 2.511878821826867437e-08
9.760612101999058723e+02 1.179812118376519057e-08
1.465061803624755385e+03 4.089125605216412459e-09
