RigidityGV Flux
3.900789666946937739e-01 1.109993065240897359e-01
4.238186277340815766e-01 1.402816831497701033e-01
5.353725514047203982e-01 2.666015620784273343e-01
6.764260292419267406e-01 4.788570279093415927e-01
8.544511262385929840e-01 8.077667552893064151e-01
1.079979472609364111e+00 1.226686197028434622e+00
1.245153269675344010e+00 1.484971528257649220e+00
1.419879350992048206e+00 1.658598538781155041e+00
1.609858877481128658e+00 1.787365224978006539e+00
1.815052194310675882e+00 1.828213504444426984e+00
2.035016146035210305e+00 1.799593447705598592e+00
2.274897264776059913e+00 1.712289521136272086e+00
2.535057498569213585e+00 1.582858558563286611e+00
2.819972164206448362e+00 1.437708404481453872e+00
3.129898798455566844e+00 1.267321294965521261e+00
3.466036176609817332e+00 1.104869828211234140e+00
3.829915805944563711e+00 9.508502380052655800e-01
4.224435415055602050e+00 8.076319960314330970e-01
4.653958011048230148e+00 6.796855743218493950e-01
5.124876068351311709e+00 5.689121785684949639e-01
5.635011913524939686e+00 4.709730714382754924e-01
6.184480804192378223e+00 3.906271952321503926e-01
6.779680614084413470e+00 3.228935674995883076e-01
7.424831203821942616e+00 2.655510660379959975e-01
8.120014676476392523e+00 2.178160574413494088e-01
8.869443553955344228e+00 1.787547499417342922e-01
9.679333143070136813e+00 1.461701695032533721e-01
1.054975780572236665e+01 1.195914136713938092e-01
1.149905211414332129e+01 9.752481304816071339e-02
1.250093180548330274e+01 7.971279083602285376e-02
1.354951214422925254e+01 6.550810096147068051e-02
1.469940176554052869e+01 5.365031697241110648e-02
1.595056032745633701e+01 4.378541507573090186e-02
1.730097288823007062e+01 3.567492017226453482e-02
1.875066603145392108e+01 2.914001787908008373e-02
2.029968019431261794e+01 2.381070538189935387e-02
2.194404887615409905e+01 1.948179999607108775e-02
2.375003238562507946e+01 1.586487590676626327e-02
2.569554109629917704e+01 1.293408555951497743e-02
2.774050150536864479e+01 1.058321977213780643e-02
2.994509261141397971e+01 8.651302068886253943e-03
3.230932180411715393e+01 7.076430761804840437e-03
3.479314726389551282e+01 5.812367346268911689e-03
3.749673628978820972e+01 4.761809237123463753e-03
4.040005647884071749e+01 3.901230367620978252e-03
4.350311586369326022e+01 3.201713784408254191e-03
4.680592709748542291e+01 2.633382910575685684e-03
5.034853292161431426e+01 2.160794238633331581e-03
5.415095084193887232e+01 1.772763560940603762e-03
5.819317503893253019e+01 1.490157538460570386e-03
6.255525299713589504e+01 1.200757280742334541e-03
6.725719118341532976e+01 9.989527335952871640e-04
7.229898952372873566e+01 8.277266698360202920e-04
7.770065738376888476e+01 6.769030425268622066e-04
8.350220847429748972e+01 5.579600631222962669e-04
8.974365332349469782e+01 4.580473833332940900e-04
9.650500770041438159e+01 3.753598506908093759e-04
1.040063042949178111e+02 3.057250866347671408e-04
1.120074959234382561e+02 2.495258748358301958e-04
1.205085886611947643e+02 2.041999386541430879e-04
1.300096408557113250e+02 1.658932732830544084e-04
1.409906803111119018e+02 1.328999694391184343e-04
1.534916826334253130e+02 1.053883561748356388e-04
1.674926276140420214e+02 8.307375358393934573e-05
1.834935310166550835e+02 6.482106469981520239e-05
2.014943758454616329e+02 5.029270385763681244e-05
2.220551732541459842e+02 3.867955620274363896e-05
2.460559355081376509e+02 2.934337991574951851e-05
2.750566790860763149e+02 2.176924195960830871e-05
3.104573984766644230e+02 1.576242485461061823e-05
3.544580923376336159e+02 1.109404031291359164e-05
4.100587561591640906e+02 7.558989077017786043e-06
4.830593956943729381e+02 4.926082048629781106e-06
5.840600169239945672e+02 3.010450673963103480e-06
7.324606189030687347e+02 1.681030014535302280e-06
9.760612101999058723e+02 8.074841864875061262e-07
1.465061803624755385e+03 2.884515156188748377e-07
