RigidityGV Flux
5.298673266591523712e-01 8.090125672404923285e-04
5.352534826219187414e-01 8.339916939928398304e-04
6.761546736990118323e-01 1.578745440214524443e-03
8.545946608668508748e-01 2.838395617933560724e-03
1.080207486547925422e+00 4.736464354445284880e-03
1.245099777475775049e+00 6.148352706376612742e-03
1.420167242813299646e+00 7.508123577534542119e-03
1.609898382969970010e+00 8.732069309563767270e-03
1.814931860042806600e+00 9.628758340520663164e-03
2.035019663601991713e+00 1.017283778919634077e-02
2.274887915511446757e+00 1.020816357875775973e-02
2.534885605987680535e+00 9.859135036119836062e-03
2.819881910001550640e+00 9.162286920825747638e-03
3.130079887190757582e+00 8.242304749748645756e-03
3.465026867259210608e+00 7.186440179083114325e-03
3.830061651467465911e+00 6.149570171170788517e-03
4.224630781423696746e+00 5.186504560727563107e-03
4.655290929129451527e+00 4.331244856275781770e-03
5.124193593659058799e+00 3.594730062718415938e-03
5.635709944415589590e+00 2.970566689633185199e-03
6.185540493284025665e+00 2.448892321322460215e-03
6.780310876853791413e+00 2.014178393031254392e-03
7.424385650329796249e+00 1.645890432739066916e-03
8.119971531589143865e+00 1.338478189201209754e-03
8.869282421106966297e+00 1.084602292778968869e-03
9.680829083817647174e+00 8.783524209867391713e-04
1.055048716750170534e+01 7.136641322929907199e-04
1.149925427269931966e+01 5.787908721206994761e-04
1.250005208668510548e+01 4.714165156057345952e-04
1.355098442893629951e+01 3.864758931605118066e-04
1.469997600009834215e+01 3.154292451664882308e-04
1.594907115920616647e+01 2.567612669151689937e-04
1.730034062570562980e+01 2.086225659334826898e-04
1.874966420929559519e+01 1.694942861241659053e-04
2.029915572182526162e+01 1.377736645869701970e-04
2.195093064816004613e+01 1.119954038800767088e-04
2.374634899507012165e+01 9.077938588593361898e-05
2.570811419232639139e+01 7.324099702915460035e-05
2.775159638502324100e+01 5.947411659810164373e-05
2.995940463481606031e+01 4.820503347860618907e-05
3.229029343278459407e+01 3.920976262135007962e-05
3.480616454921440095e+01 3.183329524261816645e-05
3.750701986798059551e+01 2.586842635074574097e-05
4.039286930926456165e+01 2.101136891738184491e-05
4.350494440689853093e+01 1.704522558050610803e-05
4.680203582236186577e+01 1.386414793623882538e-05
5.034597488163467460e+01 1.127383043558102895e-05
5.415736638037255801e+01 9.182491699303029663e-06
5.819501431672117775e+01 7.550876152627489510e-06
6.254132631883513227e+01 6.180112954471975762e-06
6.725809290701020871e+01 5.016564328242056340e-06
7.230411761047722052e+01 4.081787570043593448e-06
7.770000061786635115e+01 3.288616659586952037e-06
8.350752820664777687e+01 2.654731780261143911e-06
8.974729398775583888e+01 2.146512309245032000e-06
9.650166886615144790e+01 1.749415464082624584e-06
1.039971595830546676e+02 1.408139365493211067e-06
1.120072473686518606e+02 1.131191268582889058e-06
1.204907560365980856e+02 9.111822253981591213e-07
1.300036373348582401e+02 7.271936488601210227e-07
1.409988578810260549e+02 5.713549231979595492e-07
1.534969785033710821e+02 4.438833772982181152e-07
1.674979798199640300e+02 3.424210155905874170e-07
1.834959957478824037e+02 2.610990074363527549e-07
2.014910083594850505e+02 1.977612011189064398e-07
2.219977337242580404e+02 1.483378810846615847e-07
2.460867798472470156e+02 1.093360048629209379e-07
2.749110927410906697e+02 7.883025463767373939e-08
3.105295070443930285e+02 5.507882462311331898e-08
3.545890663901360540e+02 3.733969959789390457e-08
4.099721199107159464e+02 2.446865725960564449e-08
4.830610338730426747e+02 1.521878576436374238e-08
5.839440444855749774e+02 8.823618039994271085e-09
7.325917422938892969e+02 4.620514217754476761e-09
9.759453093876169305e+02 2.050824290464208010e-09
1.464916526567640631e+03 6.543815741554858736e-10
