RigidityGV Flux
6.000630617903004449e-01 3.578362887884976341e-03
6.762530964040056602e-01 4.870883376698281406e-03
8.547805046180276811e-01 8.540841321757574114e-03
1.080075216995582732e+00 1.366681329724997972e-02
1.245100339516792776e+00 1.706192988912279968e-02
1.420160810712753463e+00 1.999820905014256661e-02
1.610075673428130960e+00 2.209602176419517977e-02
1.815107815424651161e+00 2.331619275081468420e-02
2.034940602609975446e+00 2.341261856402813979e-02
2.274891769739080694e+00 2.252558443640028177e-02
2.534927129330413642e+00 2.094070005532610440e-02
2.819914838457212358e+00 1.891238211845213540e-02
3.130001498168851093e+00 1.672592190938631054e-02
3.464897214182011798e+00 1.450010539483525228e-02
3.830956683981046051e+00 1.244116676615771022e-02
4.226041754934318107e+00 1.055437966561467364e-02
4.654508983506029374e+00 8.906892298602409747e-03
5.125710064923248765e+00 7.449410189219467411e-03
5.634871561396245454e+00 6.193419400967814861e-03
6.184415693031867001e+00 5.125101280793537689e-03
6.779015023458205391e+00 4.230613767228997603e-03
7.425514349298863337e+00 3.466278377985825086e-03
8.119496304113978269e+00 2.841352150803263654e-03
8.870025103125891874e+00 2.322047757996892510e-03
9.679399185309568665e+00 1.896390804961364893e-03
1.054992388635006328e+01 1.552413303031221310e-03
1.149930385948358236e+01 1.267414004033685622e-03
1.249900811591287741e+01 1.039120403957275764e-03
1.354924787191323965e+01 8.541206230271797479e-04
1.470050836452859322e+01 6.992150597784629884e-04
1.595055955662353853e+01 5.703333227291812859e-04
1.729940609412175334e+01 4.645100687433702182e-04
1.874925819171631858e+01 3.777963437388078298e-04
2.030015748527521069e+01 3.074041900037184335e-04
2.194998021878098982e+01 2.504006653286605069e-04
2.375097493651767167e+01 2.031833913411052015e-04
2.570746847222691045e+01 1.643537128175568557e-04
2.774994132230051136e+01 1.338431482034878382e-04
2.994363172168692344e+01 1.091694837830600240e-04
3.231026464289387690e+01 8.902959651724555619e-05
3.480643957345029804e+01 7.284333886820566566e-05
3.749729541318620107e+01 5.961139438337393574e-05
4.040452895717512405e+01 4.863173044558971109e-05
4.350644990767558795e+01 3.979690495008545169e-05
4.680307557476752578e+01 3.258431885747358544e-05
5.035947797396234193e+01 2.659372463616326986e-05
5.415397518553550071e+01 2.177218296441626262e-05
5.820825878268599496e+01 1.790101727416701117e-05
6.254401562181652707e+01 1.486947443053865228e-05
6.724795841131827956e+01 1.216089829998392509e-05
7.229840602792900484e+01 9.946786092794996482e-06
7.769536173094262210e+01 8.111350761515890887e-06
8.350385091291184381e+01 6.631510580332693155e-06
8.974554650062167127e+01 5.424445131105838908e-06
9.650713591606654518e+01 4.419279152684472030e-06
1.040053235619930518e+02 3.577067546432346190e-06
1.120017212634619170e+02 2.900128666127546216e-06
1.204963362221116512e+02 2.356524749469878507e-06
1.300092393900302739e+02 1.898617259457031397e-06
1.409954598142599025e+02 1.507406901214204155e-06
1.534983028755123087e+02 1.183951616781152680e-06
1.674960782406696183e+02 9.240503562290042382e-07
1.835088058083627232e+02 7.132420504191257439e-07
2.014931296437189587e+02 5.474017221696406265e-07
2.219257268616591716e+02 4.167187606506102853e-07
2.459766241247318703e+02 3.118989445973652889e-07
2.750108315578915494e+02 2.280638642765021592e-07
3.105450122566240339e+02 1.624213202728849172e-07
3.545291592105314180e+02 1.124186665942039904e-07
4.099966030384333635e+02 7.524503670993064065e-08
4.830140206258450917e+02 4.800689696703937178e-08
5.839814163000488634e+02 2.863473870483092245e-08
7.323987896898854615e+02 1.553150211191640177e-08
9.759328169355287628e+02 7.193855853340262157e-09
1.464950180220547054e+03 2.433121545894083938e-09
