RigidityGV Flux
6.203528205350126168e-01 1.395903743477765831e-04
6.765105879406774214e-01 1.749174269952377984e-04
8.547759145068634101e-01 3.069322273057264279e-04
1.080013356798906088e+00 4.930359485537039654e-04
1.244887274633118768e+00 6.201064593600320429e-04
1.420113105936585685e+00 7.269450558509730435e-04
1.610136020401255141e+00 8.104535317494873659e-04
1.814898567728739920e+00 8.571214745707758740e-04
2.035062163615589004e+00 8.624183392116769719e-04
2.275019395619236828e+00 8.349759064099999614e-04
2.535050259720704080e+00 7.796479891463473609e-04
2.820066330185625691e+00 7.106424248325555722e-04
3.129939288101371897e+00 6.353958553642158422e-04
3.464892066375355739e+00 5.594525336806925164e-04
3.829087655838688153e+00 4.899156751528392899e-04
4.225808927034364615e+00 4.228906494343205417e-04
4.656158135940441589e+00 3.626326271677460071e-04
5.124872421051792415e+00 3.086611437061580893e-04
5.634265353945932198e+00 2.606418628806944008e-04
6.184384344771785003e+00 2.190969868336102751e-04
6.779936498805332334e+00 1.832077075024335475e-04
7.425556745949341675e+00 1.522812868695981050e-04
8.119074174358262397e+00 1.265807592704941312e-04
8.869625912634074183e+00 1.048836381716652439e-04
9.679523709387375163e+00 8.686386634347041734e-05
1.055108846500778519e+01 7.198539560047479205e-05
1.149995835635602326e+01 5.959798559914859930e-05
1.249957828943758642e+01 4.942760820392685082e-05
1.355015952936168055e+01 4.107658152850145091e-05
1.470041986302197579e+01 3.402260292554273771e-05
1.595031820619873386e+01 2.806651955064624093e-05
1.729985543660434999e+01 2.311710631350765867e-05
1.874906036036023949e+01 1.902669617238833620e-05
2.030017515705522868e+01 1.565750512722529814e-05
2.195105600425172909e+01 1.289905446313186648e-05
2.375001383460165272e+01 1.057633307651420828e-05
2.570799379996430289e+01 8.641616257879837244e-06
2.774610954084312553e+01 7.099934270378447122e-06
2.995864007342765944e+01 5.819784941317805982e-06
3.230178814458665215e+01 4.780588093863382720e-06
3.479748620012838956e+01 3.935435980262753977e-06
3.748952875031309162e+01 3.231222508115574672e-06
4.039979750207555043e+01 2.652706842029187982e-06
4.350641551796889672e+01 2.177655376569451609e-06
4.680939992413075856e+01 1.793548022837227894e-06
5.035250994998335017e+01 1.473947589666009436e-06
5.415761951098603078e+01 1.209996486547142435e-06
5.820286805008080933e+01 1.000287084818792580e-06
6.255386014516992788e+01 8.344842763357896337e-07
6.725432116548975614e+01 6.862509883865570162e-07
7.230424890105076940e+01 5.632571547692020298e-07
7.770364609369138975e+01 4.620821020809052197e-07
8.349623551906574903e+01 3.812508518790923164e-07
8.974759262033525431e+01 3.130590938371256967e-07
9.650142973888414133e+01 2.564710777651979266e-07
1.039981619036065723e+02 2.089999921258022361e-07
1.119973620223791642e+02 1.703951958904651745e-07
1.204990371197544050e+02 1.392115780054963378e-07
1.300058495987802303e+02 1.128320453504543417e-07
1.409985731918127954e+02 9.013618975517005819e-08
1.534990287774349156e+02 7.126751865095575052e-08
1.675071943006205970e+02 5.599333225627283290e-08
1.835038278410336261e+02 4.353843044046862104e-08
2.015107624773478960e+02 3.364977651908112786e-08
2.220743069403847869e+02 2.576959264353588642e-08
2.458937290404092835e+02 1.949762391034302123e-08
2.749575824885152429e+02 1.437714072145232086e-08
3.105769650637361678e+02 1.032991630727443175e-08
3.545000137069298489e+02 7.230394524718711943e-09
4.100045084909794468e+02 4.896108010499078583e-09
4.829904571811531468e+02 3.166878066722711667e-09
5.839467542577027643e+02 1.919030898831067667e-09
7.325400664618064184e+02 1.059890713491046092e-09
9.759704014523757678e+02 5.027032856511475659e-10
1.465015554455397705e+03 1.757346987390652572e-10
