RigidityGV Flux
4.502105868055032434e-01 1.914311837389710879e-03
5.353425942216332167e-01 3.108777460136473696e-03
6.759912095294392520e-01 5.782791005889022576e-03
8.548129504002933698e-01 1.029142872391533917e-02
1.079844129469393010e+00 1.649120833408201925e-02
1.245040138969110588e+00 2.080670403339633309e-02
1.420114436873479935e+00 2.465461531738250001e-02
1.610100757986024478e+00 2.778698970884574404e-02
1.814958353864672747e+00 2.962829507988430297e-02
2.035053232006711621e+00 3.043798904427660879e-02
2.274928920814732525e+00 2.992019722791501232e-02
2.534906373372934230e+00 2.847803273561815701e-02
2.819982775740397685e+00 2.627962190712646723e-02
3.130073057105854151e+00 2.362827333745306721e-02
3.464937435504034546e+00 2.077236263196085772e-02
3.830287996364377889e+00 1.786357647458103326e-02
4.225044279942689940e+00 1.515409266474017011e-02
4.654572796041217764e+00 1.270997469058884020e-02
5.125649168639668574e+00 1.057626002057350870e-02
5.635931872766437145e+00 8.710431275304174673e-03
6.185531254473955798e+00 7.153982089240526129e-03
6.779024436756334815e+00 5.856066043693381427e-03
7.425278630925919998e+00 4.765305681959647668e-03
8.119981586854306599e+00 3.865381573796206061e-03
8.869777483398763707e+00 3.137354109513983136e-03
9.679076200065976465e+00 2.534544051716720002e-03
1.055011396369222254e+01 2.048808848820634926e-03
1.150012260097449079e+01 1.650166668199425698e-03
1.249918448912933755e+01 1.336538266892096493e-03
1.354964200824585063e+01 1.086545487788772874e-03
1.470065451939359313e+01 8.783207618083946127e-04
1.595005354538502651e+01 7.083360098314782447e-04
1.729996975423719974e+01 5.699241542880276396e-04
1.875042765557528313e+01 4.584909374769589462e-04
2.029934762024602435e+01 3.686055976219732152e-04
2.195102381765261157e+01 2.968646437713584152e-04
2.375634721078655431e+01 2.380624025527851447e-04
2.570470943828367183e+01 1.904176732819305772e-04
2.775802891802224792e+01 1.531357871653191908e-04
2.995868339733416974e+01 1.229009337723072580e-04
3.230669338846604433e+01 9.885061570867859874e-05
3.480208478458242638e+01 7.969726152512644443e-05
3.750830661663174226e+01 6.407629358530904590e-05
4.040421650477230031e+01 5.154465800056561448e-05
4.348982843192599290e+01 4.149369380288103607e-05
4.680741956301701379e+01 3.339791035674291640e-05
5.035699439621362217e+01 2.688633808683018871e-05
5.415968745190365041e+01 2.161598221108902164e-05
5.819438256967480072e+01 1.740824782423456321e-05
6.254558106019248243e+01 1.422314948151855575e-05
6.725552227091155544e+01 1.148945134746541716e-05
7.230308363660893178e+01 9.312599500802378941e-06
7.770938758893134946e+01 7.441068639288496939e-06
8.349555553679078912e+01 6.012804273579824536e-06
8.974605663016357937e+01 4.826134971085254036e-06
9.650312020877433383e+01 3.868592984500667271e-06
1.039990083606635380e+02 3.078892296449463926e-06
1.120014475192366206e+02 2.454537212452669077e-06
1.205104439748513556e+02 1.961747276717267254e-06
1.299905027578034549e+02 1.555793502315499161e-06
1.409905519632514199e+02 1.213157968786309029e-06
1.534894463396716731e+02 9.352662721737821624e-07
1.675082782622972104e+02 7.157802248256898740e-07
1.834903946740419940e+02 5.417552328271698831e-07
2.014991141561329471e+02 4.071449641843193843e-07
2.219355532580021588e+02 3.034086327040285889e-07
2.460030722259241998e+02 2.219949927867771354e-07
2.749261212876281775e+02 1.587077242326445064e-07
3.106047068975616980e+02 1.100759300217512469e-07
3.545165890511777889e+02 7.427644606922994772e-08
4.100395497792642345e+02 4.839523065768569157e-08
4.830847072217619598e+02 3.002126841826833758e-08
5.839965099349246884e+02 1.739211737619911090e-08
7.324082919405614120e+02 9.127777343758272189e-09
9.760311731116131568e+02 4.056550794146966211e-09
1.464965167611209154e+03 1.298058918748865862e-09
