RigidityGV Flux
2.897647802366602465e-01 2.253575091944270525e+00
3.345476529153956213e-01 3.431580106662919682e+00
4.238186277340815766e-01 6.723650541932997271e+00
5.353725514047203982e-01 1.260154334198402815e+01
6.764260292419267406e-01 2.225258882546780725e+01
8.544511262385929840e-01 3.650863084836625205e+01
1.079979472609364111e+00 5.333636364191195156e+01
1.245153269675344010e+00 6.291620603800910061e+01
1.419879350992048206e+00 6.922914236018024781e+01
1.609858877481128658e+00 7.253022116454940260e+01
1.815052194310675882e+00 7.309402336732685512e+01
2.035016146035210305e+00 7.045930296976023044e+01
2.274897264776059913e+00 6.586661738999669069e+01
2.535057498569213585e+00 6.014092426125122159e+01
2.819972164206448362e+00 5.323729905439417820e+01
3.129898798455566844e+00 4.645153150399447384e+01
3.466036176609817332e+00 3.974864030830489980e+01
3.829915805944563711e+00 3.373247643657238370e+01
4.224435415055602050e+00 2.831269983263179668e+01
4.653958011048230148e+00 2.356277117651242037e+01
5.124876068351311709e+00 1.944285159729318835e+01
5.635011913524939686e+00 1.599282378265283988e+01
6.184480804192378223e+00 1.311137349381909267e+01
6.779680614084413470e+00 1.073882979320820041e+01
7.424831203821942616e+00 8.754778186114592131e+00
8.120014676476392523e+00 7.161156796104106270e+00
8.869443553955344228e+00 5.835315140880038776e+00
9.679333143070136813e+00 4.753533326038565932e+00
1.054975780572236665e+01 3.872317079839285192e+00
1.149905211414332129e+01 3.148378574502246341e+00
1.250093180548330274e+01 2.569011369698681158e+00
1.354951214422925254e+01 2.104017150348511223e+00
1.469940176554052869e+01 1.718965883105103121e+00
1.595056032745633701e+01 1.398687178562481703e+00
1.730097288823007062e+01 1.137645711753830557e+00
1.875066603145392108e+01 9.251392927431328905e-01
2.029968019431261794e+01 7.532086659523742345e-01
2.194404887615409905e+01 6.151187657329538760e-01
2.375003238562507946e+01 4.994343352190746543e-01
2.569554109629917704e+01 4.059969058732413316e-01
2.774050150536864479e+01 3.314140433876238134e-01
2.994509261141397971e+01 2.705467390076387035e-01
3.230932180411715393e+01 2.208840640823323265e-01
3.479314726389551282e+01 1.809605052841418427e-01
3.749673628978820972e+01 1.481054674291907569e-01
4.040005647884071749e+01 1.209915284985364770e-01
4.350311586369326022e+01 9.913188309467592385e-02
4.680592709748542291e+01 8.116686832374760130e-02
5.034853292161431426e+01 6.674274857169849862e-02
5.415095084193887232e+01 5.454495887706130308e-02
5.819317503893253019e+01 4.489112664372162803e-02
6.255525299713589504e+01 3.776003267581267558e-02
6.725719118341532976e+01 3.052897045740141091e-02
7.229898952372873566e+01 2.509968767978808593e-02
7.770065738376888476e+01 2.077485854433172227e-02
8.350220847429748972e+01 1.703298445256867799e-02
8.974365332349469782e+01 1.396184928767045183e-02
9.650500770041438159e+01 1.142694701738959304e-02
1.040063042949178111e+02 9.296831078644280516e-03
1.120074959234382561e+02 7.579732960248898241e-03
1.205085886611947643e+02 6.197534408172130846e-03
1.300096408557113250e+02 5.030364322395868525e-03
1.409906803111119018e+02 4.026295254369712841e-03
1.534916826334253130e+02 3.190121531122509877e-03
1.674926276140420214e+02 2.512543123356550997e-03
1.834935310166550835e+02 1.958962568579233465e-03
2.014943758454616329e+02 1.518616943262597130e-03
2.220551732541459842e+02 1.166733662167701189e-03
2.460559355081376509e+02 8.842345935765787493e-04
2.750566790860763149e+02 6.554018889212382759e-04
3.104573984766644230e+02 4.742655287262140425e-04
3.544580923376336159e+02 3.337542341594789330e-04
4.100587561591640906e+02 2.274738233151425790e-04
4.830593956943729381e+02 1.483775598859809401e-04
5.840600169239945672e+02 9.081693757528315036e-05
7.324606189030687347e+02 5.081971663793402908e-05
9.760612101999058723e+02 2.447163151895873269e-05
1.465061803624755385e+03 8.757961451062078062e-06
