RigidityGV Flux
6.129319596255478064e-01 2.890173516689308747e-02
6.763081665755318328e-01 3.697212840034872633e-02
8.546808868461758246e-01 6.349248125134268617e-02
1.080060233797820901e+00 9.753975916852948569e-02
1.245100966140484156e+00 1.181077914762048431e-01
1.419975573087231435e+00 1.310955005585628386e-01
1.609857174880482189e+00 1.376775640957098867e-01
1.814979462368587981e+00 1.357476253405648925e-01
2.035015686936694657e+00 1.280312148247035597e-01
2.274945874420271075e+00 1.180032642592592634e-01
2.535052205402405168e+00 1.069512076566132980e-01
2.819898734520595251e+00 9.618810377179487503e-02
3.129916823142988136e+00 8.595858364065500634e-02
3.465067724598803967e+00 7.605699070429873532e-02
3.830184814788881287e+00 6.663707331593524130e-02
4.224891674451455970e+00 5.790146058900763615e-02
4.655125340939249234e+00 4.998214776621266731e-02
5.125460907974392022e+00 4.283802506173881725e-02
5.635834725193202388e+00 3.649577127673522131e-02
6.184061477836790388e+00 3.109664480703460201e-02
6.779343618478052669e+00 2.641589861031147859e-02
7.423975783244157078e+00 2.237197712146342735e-02
8.120269922182023592e+00 1.891795441171520431e-02
8.870545478997772904e+00 1.602775113819639510e-02
9.679321962480189612e+00 1.354955536719890108e-02
1.055108575652263703e+01 1.144403062411263571e-02
1.149904446716232620e+01 9.644785932431719847e-03
1.249922319884710653e+01 8.147231542427840062e-03
1.354964116308046762e+01 6.890307994903896276e-03
1.470048034603819431e+01 5.802977430984964692e-03
1.594952707126892832e+01 4.870101245695629584e-03
1.729895606718512724e+01 4.078340832507059560e-03
1.875095897068896633e+01 3.408949363002228197e-03
2.029908034670656747e+01 2.852734328064775865e-03
2.194987135821123303e+01 2.387718054682391039e-03
2.374013058416279875e+01 1.989872343717113100e-03
2.570658369745547134e+01 1.649281793461507273e-03
2.775850046519675374e+01 1.372695047347612975e-03
2.996073358910031814e+01 1.142353856209075676e-03
3.229172137014536048e+01 9.525391638758858113e-04
3.479465425058770478e+01 7.931575240706899028e-04
3.749111250471733570e+01 6.601652908059651298e-04
4.040266563460579619e+01 5.478760405754336217e-04
4.350775313105923203e+01 4.559498808109873876e-04
4.680639295060386473e+01 3.791324758017109798e-04
5.034171641516307005e+01 3.154218902493750062e-04
5.415683733662798005e+01 2.638295392834140245e-04
5.820865245949973144e+01 2.196086267761901010e-04
6.254027600625718009e+01 1.827482095468646887e-04
6.725945540367450803e+01 1.507806529389895680e-04
7.230154084929101543e+01 1.261165825563823485e-04
7.770963088278743669e+01 1.039273979930788649e-04
8.350527371389429732e+01 8.739557009775476989e-05
8.975310462635245301e+01 7.302597111239199790e-05
9.649620950749088877e+01 6.050628915884994019e-05
1.039930972472262596e+02 4.979725893958847815e-05
1.120067892406807175e+02 4.102660920148765991e-05
1.204942084854981914e+02 3.389611672976818073e-05
1.299938904055219098e+02 2.778601826805375801e-05
1.410012526920055507e+02 2.245240304552886142e-05
1.534947220080044588e+02 1.797099865790258822e-05
1.674958179133284091e+02 1.429312774693146695e-05
1.834999427097615410e+02 1.125030193186050078e-05
2.015070765926207912e+02 8.801672298044689496e-06
2.219049177000381405e+02 6.835610330752520404e-06
2.460288838879752689e+02 5.216049082763685404e-06
2.751066715629132773e+02 3.893151015823509280e-06
3.104305809150978916e+02 2.838276317001110840e-06
3.545852343762784358e+02 2.004944658722586511e-06
4.099398469442386954e+02 1.372923562763855733e-06
4.829559737989759469e+02 8.955548673203796461e-07
5.839720792659053359e+02 5.462954459417721617e-07
7.325881630311226900e+02 3.031078407181666967e-07
9.759734635159421714e+02 1.440291114423138332e-07
1.464897228702229086e+03 5.018504449581011018e-08
