RigidityGV Flux
3.601297171113949647e-01 1.083354578939882754e-02
4.232832732363360217e-01 1.725613231469896175e-02
5.349591448355244250e-01 3.322117914974177799e-02
6.758917065651535161e-01 6.196888168149278231e-02
8.544835378216091293e-01 1.093512810299579058e-01
1.080216153482903563e+00 1.790003433339904526e-01
1.245021523815552200e+00 2.262579589544022052e-01
1.420091448448679072e+00 2.688459661864768813e-01
1.609914924722235297e+00 3.024934560250781557e-01
1.815101423600032904e+00 3.246091391862250264e-01
2.035136044462078520e+00 3.337791673752026345e-01
2.275155606322492030e+00 3.316229755202485530e-01
2.535023608520546645e+00 3.162742147293163830e-01
2.820025679278730824e+00 2.937771778075691786e-01
3.129899471111293519e+00 2.650179250107776996e-01
3.465064415289130118e+00 2.342166075576901929e-01
3.829935982397564942e+00 2.027471256597370708e-01
4.225606029720471390e+00 1.729802995812473876e-01
4.654339084625585876e+00 1.455176671305463132e-01
5.124257515213648695e+00 1.211138275639633138e-01
5.635190971717580766e+00 9.981732048622204978e-02
6.184687263832290505e+00 8.195544119048546461e-02
6.780304861331499566e+00 6.699159194088608049e-02
7.424555089248348949e+00 5.456802001588587775e-02
8.119960532329082881e+00 4.434000534613911915e-02
8.869047139163862781e+00 3.596657053954999822e-02
9.679121331143418772e+00 2.914134282560922398e-02
1.055026316285222698e+01 2.355949231929235776e-02
1.149921482837537035e+01 1.894006130587377879e-02
1.249993050384622606e+01 1.524322157779460854e-02
1.355027785279327901e+01 1.229403482836165587e-02
1.470000655913075960e+01 9.852897348139492278e-03
1.594906969448105372e+01 7.860213111110191803e-03
1.729981961689549408e+01 6.249001450798269061e-03
1.874993160250198798e+01 4.964346445156665559e-03
2.029945891931332724e+01 3.950517075552360986e-03
2.195081008378231857e+01 3.145017438781737892e-03
2.375091044574366705e+01 2.496343289132799993e-03
2.569505821475613416e+01 1.979325353631193000e-03
2.775518089325947102e+01 1.574373447261338431e-03
2.995473665133468089e+01 1.254512742054931986e-03
3.229376040289331229e+01 1.001773052288278381e-03
3.479566961542418113e+01 8.008547574766069783e-04
3.750723050400677039e+01 6.389932968397314238e-04
4.040506984005703828e+01 5.104184047210217831e-04
4.348920720611793911e+01 4.086364847712548043e-04
4.680638299809439218e+01 3.262357499631977952e-04
5.035660208244271274e+01 2.628549713206794610e-04
5.413987558653523280e+01 2.093871371512477219e-04
5.820291776192377142e+01 1.720952409510543408e-04
6.254573283379701110e+01 1.343453340856870547e-04
6.723836624823509567e+01 1.103826211778498003e-04
7.230415900793173023e+01 8.695328556311634506e-05
7.769642478127266827e+01 7.066360943455273370e-05
8.350853948009871885e+01 5.648115746651243484e-05
8.974050276639870560e+01 4.516639418562036403e-05
9.650901462962485766e+01 3.603240766223791378e-05
1.040007770509110259e+02 2.855894852472178950e-05
1.120057330667617776e+02 2.267799319573673354e-05
1.205005526588728770e+02 1.806713447123947357e-05
1.299986511643762412e+02 1.426989467870583078e-05
1.409900673687062920e+02 1.108724384182451163e-05
1.534980989639984443e+02 8.514213810927994536e-06
1.674993850661750798e+02 6.493421557388087319e-06
1.835072817220826380e+02 4.893567024892777659e-06
2.014984308700582005e+02 3.664231326109705512e-06
2.220095137856051224e+02 2.717203740781431112e-06
2.459972178430527379e+02 1.982539337936117037e-06
2.749315616378472100e+02 1.411784999982362854e-06
3.103992099458183134e+02 9.785197958738194650e-07
3.545001565764703173e+02 6.588228014747213776e-07
4.100343923058371729e+02 4.307449368368208695e-07
4.830685965488713123e+02 2.696115546864703505e-07
5.841027756448073660e+02 1.583730350209423397e-07
7.325035948965344232e+02 8.489937738381005969e-08
9.761043996340200692e+02 3.898195100027190968e-08
1.464938540441217810e+03 1.320823387927467542e-08
