RigidityGV Flux
4.701144250601123620e-01 3.070582529983708134e-02
5.353725514047203982e-01 4.371224004399913016e-02
6.764260292419267406e-01 7.886426222533578223e-02
8.544511262385929840e-01 1.332726616583809476e-01
1.079979472609364111e+00 2.014281246461779862e-01
1.245153269675344010e+00 2.442309808233391055e-01
1.419879350992048206e+00 2.769137408257179578e-01
1.609858877481128658e+00 2.980978769560376773e-01
1.815052194310675882e+00 3.089648273433896475e-01
2.035016146035210305e+00 3.075361938766593140e-01
2.274897264776059913e+00 2.959409863457841405e-01
2.535057498569213585e+00 2.769355242684735652e-01
2.819972164206448362e+00 2.528053616358173494e-01
3.129898798455566844e+00 2.263012286843525678e-01
3.466036176609817332e+00 1.988569562523885559e-01
3.829915805944563711e+00 1.717483198465375727e-01
4.224435415055602050e+00 1.474236954361977658e-01
4.653958011048230148e+00 1.251025445580467299e-01
5.124876068351311709e+00 1.055163071197744856e-01
5.635011913524939686e+00 8.850867498335582284e-02
6.184480804192378223e+00 7.406885808982081876e-02
6.779680614084413470e+00 6.171750775248396881e-02
7.424831203821942616e+00 5.113544805089326184e-02
8.120014676476392523e+00 4.237122151271717485e-02
8.869443553955344228e+00 3.490241224712059553e-02
9.679333143070136813e+00 2.874218252114443817e-02
1.054975780572236665e+01 2.362592297324183493e-02
1.149905211414332129e+01 1.936842641715207092e-02
1.250093180548330274e+01 1.591610301292433263e-02
1.354951214422925254e+01 1.311421608975602004e-02
1.469940176554052869e+01 1.075438385256990634e-02
1.595056032745633701e+01 8.812455631745404541e-03
1.730097288823007062e+01 7.200934014009043038e-03
1.875066603145392108e+01 5.879145783417594369e-03
2.029968019431261794e+01 4.809181335721790691e-03
2.194404887615409905e+01 3.940317277309686970e-03
2.375003238562507946e+01 3.213263304188894616e-03
2.569554109629917704e+01 2.616932996313600830e-03
2.774050150536864479e+01 2.142325803290707868e-03
2.994509261141397971e+01 1.752074972653803369e-03
3.230932180411715393e+01 1.433529212322700013e-03
3.479314726389551282e+01 1.177833189999023767e-03
3.749673628978820972e+01 9.653190674543220403e-04
4.040005647884071749e+01 7.907600960653808544e-04
4.350311586369326022e+01 6.483282794280056808e-04
4.680592709748542291e+01 5.323815433654265029e-04
5.034853292161431426e+01 4.374278491763977086e-04
5.415095084193887232e+01 3.609398227284135079e-04
5.819317503893253019e+01 2.983707349266199451e-04
6.255525299713589504e+01 2.475809301572823719e-04
6.725719118341532976e+01 2.017104857950938678e-04
7.229898952372873566e+01 1.635160602583944091e-04
7.770065738376888476e+01 1.363812611803550746e-04
8.350220847429748972e+01 1.126925516499683656e-04
8.974365332349469782e+01 9.228373028427800696e-05
9.650500770041438159e+01 7.576051153655919790e-05
1.040063042949178111e+02 6.166953098821145740e-05
1.120074959234382561e+02 5.029747579616797748e-05
1.205085886611947643e+02 4.113110329697979185e-05
1.300096408557113250e+02 3.338269882069070635e-05
1.409906803111119018e+02 2.671649069656389361e-05
1.534916826334253130e+02 2.116218639005172024e-05
1.674926276140420214e+02 1.666145940907734775e-05
1.834935310166550835e+02 1.298418718179808811e-05
2.014943758454616329e+02 1.006096131001371891e-05
2.220551732541459842e+02 7.725998209838842964e-06
2.460559355081376509e+02 5.851901500450778837e-06
2.750566790860763149e+02 4.334420254753957101e-06
3.104573984766644230e+02 3.134005506429401917e-06
3.544580923376336159e+02 2.203244895721977687e-06
4.100587561591640906e+02 1.500038343266611986e-06
4.830593956943729381e+02 9.772772983891599362e-07
5.840600169239945672e+02 5.973963460059678458e-07
7.324606189030687347e+02 3.338297977322223663e-07
9.760612101999058723e+02 1.604809216559608142e-07
1.465061803624755385e+03 5.734159141355476088e-08
