RigidityGV Flux
6.200156403567703700e-01 2.437899247317540895e-03
6.761984549063330130e-01 3.052066102547350366e-03
8.543012938444470850e-01 5.297186842610432551e-03
1.079804998679054107e+00 8.410760121262463376e-03
1.244873219271758868e+00 1.044009035706998031e-02
1.420106804509739806e+00 1.215200895824301852e-02
1.610036152948898236e+00 1.342059062042708084e-02
1.814948698690446394e+00 1.411663224571950079e-02
2.035145148348398436e+00 1.420477609344132121e-02
2.275069688860968942e+00 1.378512311959262382e-02
2.535003500365649920e+00 1.295944089762556331e-02
2.819899072545583696e+00 1.183172337929330742e-02
3.129880909964326552e+00 1.058536284606467065e-02
3.464888335973352440e+00 9.350138606771123823e-03
3.830114457614895329e+00 8.097791215366448650e-03
4.225136348108478046e+00 6.958928293826408158e-03
4.654091346811147112e+00 5.916464614826999827e-03
5.124092947930098063e+00 4.975275419981464893e-03
5.635022766928376114e+00 4.158833325810334242e-03
6.184608871729431634e+00 3.461828046891169026e-03
6.779949143170487247e+00 2.871330592474773732e-03
7.425702165582295677e+00 2.378826362230242880e-03
8.119673929267728241e+00 1.970750149564957487e-03
8.871062350762134230e+00 1.632393662394420342e-03
9.679942910594652616e+00 1.351019321544499104e-03
1.055091445356457847e+01 1.116127135196171277e-03
1.149971924139374302e+01 9.194724366615792451e-04
1.249961256661887354e+01 7.604300546860838766e-04
1.355080620998334062e+01 6.317202472393035773e-04
1.470013280546952217e+01 5.229297485806402856e-04
1.594977578688307140e+01 4.315988906466366255e-04
1.729973283957656349e+01 3.555760458093759038e-04
1.875003085504363298e+01 2.926900756224619783e-04
2.030071489098191151e+01 2.408757530063679667e-04
2.194963054353655352e+01 1.985462204481623757e-04
2.374983814142307281e+01 1.629301045182988148e-04
2.570573069352589357e+01 1.332604614813324853e-04
2.775774278688426833e+01 1.094242115846901723e-04
2.994123856002288164e+01 8.995894426415019661e-05
3.230034398260201556e+01 7.384592778647127505e-05
3.479098480973565444e+01 6.078318982495132784e-05
3.750133630844569410e+01 4.990424334105380465e-05
4.040935737465991195e+01 4.095013873942424527e-05
4.349303497052893164e+01 3.370272424334881580e-05
4.679643773529533490e+01 2.770426682460822975e-05
5.034159339309042736e+01 2.274645664421137505e-05
5.415052392635158895e+01 1.879639114024336759e-05
5.820122002602402489e+01 1.554722305523008747e-05
6.255973139559033314e+01 1.269589836608983808e-05
6.724806966326789848e+01 1.042099248760648174e-05
7.231025416363738145e+01 8.572035901238154266e-06
7.770226811593411753e+01 7.056289440001088772e-06
8.349014058416163664e+01 5.780121562267576028e-06
8.973989137664943883e+01 4.767374932636390673e-06
9.649552891300203328e+01 3.912993858750245894e-06
1.039990984449420637e+02 3.177653714567197933e-06
1.120085418211436945e+02 2.583729394943589238e-06
1.205018628328597572e+02 2.105781439285276811e-06
1.300071366050134429e+02 1.701740305171662170e-06
1.410083964903757874e+02 1.354734774874969644e-06
1.535056086397059119e+02 1.067343638936888150e-06
1.674987512592652195e+02 8.354992177741107185e-07
1.834938439181663625e+02 6.469093429274294062e-07
2.014908659448365995e+02 4.977631817460013751e-07
2.219958284513423052e+02 3.796186114553776158e-07
2.460207520767552012e+02 2.850166473449258521e-07
2.750616531571614587e+02 2.089901837124921623e-07
3.104825240234453076e+02 1.494245818025130991e-07
3.544833634660150210e+02 1.037094381913526107e-07
4.099241645834544556e+02 6.964281785767862431e-08
4.829649392500359681e+02 4.456698861183283618e-08
5.839456910826742160e+02 2.667396169362404935e-08
7.324464201246938728e+02 1.452038607266071558e-08
9.759871354856013568e+02 6.756093501390273332e-09
1.465047853679008767e+03 2.297148891996001594e-09
