RigidityGV Flux
4.500947530002988306e-01 1.916303641578996977e-02
5.353725514047203982e-01 3.076390089769059227e-02
6.764260292419267406e-01 5.636840967917684797e-02
8.544511262385929840e-01 9.565832558971615329e-02
1.079979472609364111e+00 1.484937208478362414e-01
1.245153269675344010e+00 1.831242912083847485e-01
1.419879350992048206e+00 2.108216797213789406e-01
1.609858877481128658e+00 2.312013507724314521e-01
1.815052194310675882e+00 2.415406728267354419e-01
2.035016146035210305e+00 2.427583778254460145e-01
2.274897264776059913e+00 2.355194003239337586e-01
2.535057498569213585e+00 2.217364888011752466e-01
2.819972164206448362e+00 2.037835580666839397e-01
3.129898798455566844e+00 1.829443679604494943e-01
3.466036176609817332e+00 1.618400072652828869e-01
3.829915805944563711e+00 1.403490863036219727e-01
4.224435415055602050e+00 1.204691491345135229e-01
4.653958011048230148e+00 1.028482069764698609e-01
5.124876068351311709e+00 8.658585908976998424e-02
5.635011913524939686e+00 7.260765247433147163e-02
6.184480804192378223e+00 6.059458358964368851e-02
6.779680614084413470e+00 5.047100914159132617e-02
7.424831203821942616e+00 4.190923017617882718e-02
8.120014676476392523e+00 3.466163905482810836e-02
8.869443553955344228e+00 2.864060514902778271e-02
9.679333143070136813e+00 2.362882520450824281e-02
1.054975780572236665e+01 1.946122403532251494e-02
1.149905211414332129e+01 1.597696552216950477e-02
1.250093180548330274e+01 1.315328704684546116e-02
1.354951214422925254e+01 1.086218781893464810e-02
1.469940176554052869e+01 8.945178610550672330e-03
1.595056032745633701e+01 7.330512243680689308e-03
1.730097288823007062e+01 5.996312102449406767e-03
1.875066603145392108e+01 4.908114216059886008e-03
2.029968019431261794e+01 4.016803559954785878e-03
2.194404887615409905e+01 3.293840657163251036e-03
2.375003238562507946e+01 2.688051621317407575e-03
2.569554109629917704e+01 2.191695470434552005e-03
2.774050150536864479e+01 1.793382220237012704e-03
2.994509261141397971e+01 1.466634863122092975e-03
3.230932180411715393e+01 1.199598280560215755e-03
3.479314726389551282e+01 9.857335301994029665e-04
3.749673628978820972e+01 8.072797796091848738e-04
4.040005647884071749e+01 6.607367882502460923e-04
4.350311586369326022e+01 5.412601517597173196e-04
4.680592709748542291e+01 4.442708716807493644e-04
5.034853292161431426e+01 3.649809155766204792e-04
5.415095084193887232e+01 2.997422548280372296e-04
5.819317503893253019e+01 2.479265004934945059e-04
6.255525299713589504e+01 2.030572439880091085e-04
6.725719118341532976e+01 1.669885890871711004e-04
7.229898952372873566e+01 1.379231644339947143e-04
7.770065738376888476e+01 1.137916410965812263e-04
8.350220847429748972e+01 9.344369245335570212e-05
8.974365332349469782e+01 7.636325914249939765e-05
9.650500770041438159e+01 6.264086336009418784e-05
1.040063042949178111e+02 5.092553351499188739e-05
1.120074959234382561e+02 4.148305791851499111e-05
1.205085886611947643e+02 3.388016610608885219e-05
1.300096408557113250e+02 2.746380493537437095e-05
1.409906803111119018e+02 2.194890854822771392e-05
1.534916826334253130e+02 1.736046090666481024e-05
1.674926276140420214e+02 1.365010587475143331e-05
1.834935310166550835e+02 1.062407711487410608e-05
2.014943758454616329e+02 8.224480927181526511e-06
2.220551732541459842e+02 6.313395129522143289e-06
2.460559355081376509e+02 4.784150101623390008e-06
2.750566790860763149e+02 3.550196776187027910e-06
3.104573984766644230e+02 2.577076957898674446e-06
3.544580923376336159e+02 1.825066716916710799e-06
4.100587561591640906e+02 1.257155303983568700e-06
4.830593956943729381e+02 8.335995922178889047e-07
5.840600169239945672e+02 5.224987326638414587e-07
7.324606189030687347e+02 3.021082100553072961e-07
9.760612101999058723e+02 1.521479390927566828e-07
1.465061803624755385e+03 5.815234794184195877e-08
