RigidityGV Flux
6.097211232769086386e-01 1.383076040061141914e-03
6.765474067792670576e-01 1.800378697554380191e-03
8.547251280190114597e-01 3.055851941949171060e-03
1.080051646161838796e+00 4.644738557674660609e-03
1.245098490054825868e+00 5.668239382906070829e-03
1.420143142929882973e+00 6.470501819520167903e-03
1.610072598782401387e+00 7.032717430704204901e-03
1.814875336518302573e+00 7.314978004644309868e-03
2.034937073774158556e+00 7.338155232349233455e-03
2.274980997400092075e+00 7.104626329209893024e-03
2.535063460925375711e+00 6.710068638906166276e-03
2.820095669714655084e+00 6.175616814552130698e-03
3.130036006756321765e+00 5.585281299897705727e-03
3.464918163721897759e+00 4.979978138776463767e-03
3.830331032262439983e+00 4.379643228434872484e-03
4.225459628361676323e+00 3.810057306099102169e-03
4.654655410377347202e+00 3.280284258206857435e-03
5.124590226600016507e+00 2.802041818579687014e-03
5.635193760413161890e+00 2.378715231024839446e-03
6.184363671126146933e+00 2.012526238739444605e-03
6.780912671928999380e+00 1.693831565665931873e-03
7.424904771391231506e+00 1.418788964308712128e-03
8.120724228423664925e+00 1.189380730607809142e-03
8.870594595199650101e+00 9.928479497647846579e-04
9.680965523256974237e+00 8.278148437466444510e-04
1.054980901244480940e+01 6.898657089717524088e-04
1.150035096354610076e+01 5.717975890425403039e-04
1.249903785539044776e+01 4.757498304708273349e-04
1.355026176872250865e+01 3.967372953995192239e-04
1.470014502219316554e+01 3.292651264375930607e-04
1.595074232524366664e+01 2.724925461714417787e-04
1.729996715804629304e+01 2.251068835223229666e-04
1.874993147396962812e+01 1.859782530360199262e-04
2.030067448518765971e+01 1.536671478295614085e-04
2.195016520751633138e+01 1.271647549669242404e-04
2.374625981527634266e+01 1.048451331147556582e-04
2.569933309823478140e+01 8.620207395005060409e-05
2.775539225349798400e+01 7.110870861999919724e-05
2.995601704606434623e+01 5.870673862390999703e-05
3.230123012329843846e+01 4.854581143089819166e-05
3.479105849520336591e+01 4.019328851305518880e-05
3.750849806991733004e+01 3.319956881897292652e-05
4.039131943309582340e+01 2.747422321513558237e-05
4.350175236225209119e+01 2.272706526347490971e-05
4.679833402700702294e+01 1.881179660710710828e-05
5.034327452488224708e+01 1.557944318687335707e-05
5.415730451597610795e+01 1.296948549468369808e-05
5.819897514825283480e+01 1.073112933246988871e-05
6.255119895384421369e+01 8.880994781093611319e-06
6.725542201738987558e+01 7.363662176764406916e-06
7.229092031296310950e+01 6.097827011311190720e-06
7.769914034923317558e+01 5.116731317130202158e-06
8.350080425457764477e+01 4.247938056462504979e-06
8.975807210245292822e+01 3.505170425232578829e-06
9.649166177532497102e+01 2.901304719454866789e-06
1.039916241810296214e+02 2.379864575974073281e-06
1.120093337950535073e+02 1.955455322952914275e-06
1.205033621632092746e+02 1.611684621617950104e-06
1.299916323866208643e+02 1.318386553070836920e-06
1.409920352275663902e+02 1.063124536008020022e-06
1.535045398736323818e+02 8.488493209869047709e-07
1.675084107249836620e+02 6.738928727424749854e-07
1.835008077292650910e+02 5.297456358305362763e-07
2.015024282285389177e+02 4.140415365358565810e-07
2.219068490647979388e+02 3.213854050109758552e-07
2.459362400846696630e+02 2.455542384774228079e-07
2.749370384584678391e+02 1.836335608964566386e-07
3.105663866276543104e+02 1.338751705992774585e-07
3.544814148895024459e+02 9.518337178286211021e-08
4.099964116511003454e+02 6.557976854262184054e-08
4.829113829059232330e+02 4.325419080412842469e-08
5.839977644281154880e+02 2.677783544166318868e-08
7.325198392898732891e+02 1.518349830661053238e-08
9.759133302246301582e+02 7.436780017535047810e-09
1.464978252724613867e+03 2.715972293205479708e-09
