RigidityGV Flux
4.100825532528786233e-01 2.780680528596683396e-02
4.238186277340815766e-01 3.045874720998011792e-02
5.353725514047203982e-01 5.797070320899411211e-02
6.764260292419267406e-01 1.061007003809853744e-01
8.544511262385929840e-01 1.830668822146301056e-01
1.079979472609364111e+00 2.841324354166034349e-01
1.245153269675344010e+00 3.507081390806860433e-01
1.419879350992048206e+00 4.077681302644710071e-01
1.609858877481128658e+00 4.468022121920295353e-01
1.815052194310675882e+00 4.677751875847931951e-01
2.035016146035210305e+00 4.713251298988738180e-01
2.274897264776059913e+00 4.571370488299394408e-01
2.535057498569213585e+00 4.304579518076579459e-01
2.819972164206448362e+00 3.923302344219515847e-01
3.129898798455566844e+00 3.514491259352374164e-01
3.466036176609817332e+00 3.076905199590223017e-01
3.829915805944563711e+00 2.651646151638762383e-01
4.224435415055602050e+00 2.248482138943714292e-01
4.653958011048230148e+00 1.891484418272415258e-01
5.124876068351311709e+00 1.571464316218747770e-01
5.635011913524939686e+00 1.299709601901752332e-01
6.184480804192378223e+00 1.071354590860400524e-01
6.779680614084413470e+00 8.785999285947472537e-02
7.424831203821942616e+00 7.182765385984576922e-02
8.120014676476392523e+00 5.860048479829761681e-02
8.869443553955344228e+00 4.763031773219163906e-02
9.679333143070136813e+00 3.866566212800598423e-02
1.054975780572236665e+01 3.136860978870792405e-02
1.149905211414332129e+01 2.538233569082987140e-02
1.250093180548330274e+01 2.058091596397113726e-02
1.354951214422925254e+01 1.677147115304603378e-02
1.469940176554052869e+01 1.360583321531456079e-02
1.595056032745633701e+01 1.099611506256858127e-02
1.730097288823007062e+01 8.871141644081989922e-03
1.875066603145392108e+01 7.155519510599939008e-03
2.029968019431261794e+01 5.779173645879780510e-03
2.194404887615409905e+01 4.675168342843883870e-03
2.375003238562507946e+01 3.762855751373150176e-03
2.569554109629917704e+01 3.028369034521135456e-03
2.774050150536864479e+01 2.447763534442018354e-03
2.994509261141397971e+01 1.976225020596360411e-03
3.230932180411715393e+01 1.596388984011066006e-03
3.479314726389551282e+01 1.295750241445799795e-03
3.749673628978820972e+01 1.048066063895815563e-03
4.040005647884071749e+01 8.477216868010139118e-04
4.350311586369326022e+01 6.860641929103538251e-04
4.680592709748542291e+01 5.557947991673644174e-04
5.034853292161431426e+01 4.500872677516514733e-04
5.415095084193887232e+01 3.652039680522417000e-04
5.819317503893253019e+01 3.011491566096161847e-04
6.255525299713589504e+01 2.422972466469266116e-04
6.725719118341532976e+01 1.958486812784866814e-04
7.229898952372873566e+01 1.617005141349316230e-04
7.770065738376888476e+01 1.305578089830542149e-04
8.350220847429748972e+01 1.059900796352909491e-04
8.974365332349469782e+01 8.578278564269796523e-05
9.650500770041438159e+01 6.930380610546626964e-05
1.040063042949178111e+02 5.553859486559346598e-05
1.120074959234382561e+02 4.475153543962123552e-05
1.205085886611947643e+02 3.610142664630147083e-05
1.300096408557113250e+02 2.889775967718448871e-05
1.409906803111119018e+02 2.278694265505516782e-05
1.534916826334253130e+02 1.777391775053544637e-05
1.674926276140420214e+02 1.377861548761621695e-05
1.834935310166550835e+02 1.056954594327930963e-05
2.014943758454616329e+02 8.062811648282900556e-06
2.220551732541459842e+02 6.097088565892585062e-06
2.460559355081376509e+02 4.548641171922354834e-06
2.750566790860763149e+02 3.319524283485426364e-06
3.104573984766644230e+02 2.366609017308448234e-06
3.544580923376336159e+02 1.643309458600685070e-06
4.100587561591640906e+02 1.107340026179208987e-06
4.830593956943729381e+02 7.160303848562650803e-07
5.840600169239945672e+02 4.358307603077432260e-07
7.324606189030687347e+02 2.435221896070268490e-07
9.760612101999058723e+02 1.177987767850017628e-07
1.465061803624755385e+03 4.290255335656007777e-08
