RigidityGV Flux
4.300858471933248772e-01 1.401351497004853508e-01
5.353725514047203982e-01 2.553853251509876632e-01
6.764260292419267406e-01 4.613603369356664707e-01
8.544511262385929840e-01 7.640351937156601991e-01
1.079979472609364111e+00 1.144125296639896261e+00
1.245153269675344010e+00 1.359006728246679119e+00
1.419879350992048206e+00 1.539051792352085002e+00
1.609858877481128658e+00 1.645224783898181942e+00
1.815052194310675882e+00 1.660591453715904553e+00
2.035016146035210305e+00 1.647169079896354305e+00
2.274897264776059913e+00 1.552965197335607561e+00
2.535057498569213585e+00 1.442055294759439166e+00
2.819972164206448362e+00 1.302682830680684578e+00
3.129898798455566844e+00 1.154855711644439786e+00
3.466036176609817332e+00 1.004423047454071405e+00
3.829915805944563711e+00 8.617219279944222654e-01
4.224435415055602050e+00 7.371067712090925150e-01
4.653958011048230148e+00 6.221009704836488741e-01
5.124876068351311709e+00 5.235570215263377625e-01
5.635011913524939686e+00 4.374934369300295667e-01
6.184480804192378223e+00 3.639286010912588520e-01
6.779680614084413470e+00 3.033997040521742017e-01
7.424831203821942616e+00 2.514693399141390007e-01
8.120014676476392523e+00 2.081382362804485298e-01
8.869443553955344228e+00 1.716449021169185740e-01
9.679333143070136813e+00 1.416422046052927819e-01
1.054975780572236665e+01 1.166959672737069437e-01
1.149905211414332129e+01 9.580256390860722449e-02
1.250093180548330274e+01 7.885207384521587815e-02
1.354951214422925254e+01 6.522271080751690375e-02
1.469940176554052869e+01 5.376143261255397071e-02
1.595056032745633701e+01 4.414382827220839772e-02
1.730097288823007062e+01 3.616999156264683740e-02
1.875066603145392108e+01 2.967163690696290532e-02
2.029968019431261794e+01 2.434692164624050609e-02
2.194404887615409905e+01 2.001063422885695706e-02
2.375003238562507946e+01 1.638901611737448791e-02
2.569554109629917704e+01 1.339513346377620498e-02
2.774050150536864479e+01 1.100714126593325612e-02
2.994509261141397971e+01 9.036577089397502052e-03
3.230932180411715393e+01 7.415334835152892143e-03
3.479314726389551282e+01 6.111333458753438058e-03
3.749673628978820972e+01 5.021386522811368928e-03
4.040005647884071749e+01 4.126204267459650417e-03
4.350311586369326022e+01 3.392959295469945898e-03
4.680592709748542291e+01 2.794191014886765988e-03
5.034853292161431426e+01 2.303840149133015540e-03
5.415095084193887232e+01 1.900029716876990406e-03
5.819317503893253019e+01 1.582649002752679803e-03
6.255525299713589504e+01 1.287329165186644779e-03
6.725719118341532976e+01 1.076041534473912414e-03
7.229898952372873566e+01 8.926593861151013373e-04
7.770065738376888476e+01 7.314131272479439377e-04
8.350220847429748972e+01 5.990035398314262757e-04
8.974365332349469782e+01 4.965129545659891386e-04
9.650500770041438159e+01 4.075042949630888864e-04
1.040063042949178111e+02 3.324532881095314273e-04
1.120074959234382561e+02 2.717532722232553427e-04
1.205085886611947643e+02 2.227247544908538446e-04
1.300096408557113250e+02 1.812102276808854110e-04
1.409906803111119018e+02 1.453782577216818756e-04
1.534916826334253130e+02 1.154480552535934180e-04
1.674926276140420214e+02 9.112994922061404463e-05
1.834935310166550835e+02 7.119995161970718198e-05
2.014943758454616329e+02 5.530932431293785530e-05
2.220551732541459842e+02 4.258603397055492725e-05
2.460559355081376509e+02 3.233952803044662052e-05
2.750566790860763149e+02 2.401761531457148518e-05
3.104573984766644230e+02 1.741082240791316408e-05
3.544580923376336159e+02 1.227055955615889419e-05
4.100587561591640906e+02 8.373443692656679069e-06
4.830593956943729381e+02 5.467397509829012022e-06
5.840600169239945672e+02 3.349593647774936057e-06
7.324606189030687347e+02 1.876542026623085414e-06
9.760612101999058723e+02 9.053336778030650736e-07
1.465061803624755385e+03 3.253354285783273738e-07
