RigidityGV Flux
5.201244641945823588e-01 8.483260908673521039e-04
5.349816090257167867e-01 9.067733272564622044e-04
6.762402942298071373e-01 1.710654838016920868e-03
8.547992869432980978e-01 3.024042242220985246e-03
1.080105204143574138e+00 4.937558938386549766e-03
1.244902307806659003e+00 6.331100989853476191e-03
1.420014044163244948e+00 7.560291327380233399e-03
1.609917257427208481e+00 8.573192939840285770e-03
1.814923613775381694e+00 9.314790453848828186e-03
2.035097953572214013e+00 9.645616128818996354e-03
2.274897530797123313e+00 9.645661110828079171e-03
2.534947217532288466e+00 9.240093237729771203e-03
2.820120984303025491e+00 8.588422773436365371e-03
3.129878953397649877e+00 7.735701315187424980e-03
3.464993346853470157e+00 6.799384332687799515e-03
3.830779723898173117e+00 5.858794232298901103e-03
4.224832020115371733e+00 4.986045574314403039e-03
4.655139078182283008e+00 4.191392860025009923e-03
5.126057279536803790e+00 3.517920422989606784e-03
5.635344450173151998e+00 2.924264646826571674e-03
6.185299536908504869e+00 2.419872639568078181e-03
6.780364067844053544e+00 1.997734053330788278e-03
7.424917270612144904e+00 1.640494099510548393e-03
8.119048575831927295e+00 1.344303967134390185e-03
8.869236440876175465e+00 1.097130784036207899e-03
9.679782713279891482e+00 8.923101333334577728e-04
1.055076698506594290e+01 7.273712367334109630e-04
1.149905925939448004e+01 5.910429887425279125e-04
1.249957969928687085e+01 4.807619473342074584e-04
1.355042373960021074e+01 3.932934429292714025e-04
1.469970124550239809e+01 3.197750217324158957e-04
1.594946284156105243e+01 2.591829477818029638e-04
1.729970670863113114e+01 2.096048797580255787e-04
1.875045685162503872e+01 1.692811304954715463e-04
2.029967738540987909e+01 1.371168347831462609e-04
2.194949589139220336e+01 1.109950759001341361e-04
2.375387451938129857e+01 8.951834252580697228e-05
2.570242825482039706e+01 7.204530509868730032e-05
2.775373605785813069e+01 5.823527201123898000e-05
2.994928085528293593e+01 4.708763554573808512e-05
3.230978806977605444e+01 3.809126899727294105e-05
3.479387245241802162e+01 3.093283017871320989e-05
3.750504737170256675e+01 2.500887453698534530e-05
4.040191669539733965e+01 2.027610428498582227e-05
4.350518302336830345e+01 1.643908753139485844e-05
4.679417258340846786e+01 1.334932457482141171e-05
5.035163367862390515e+01 1.081434390206558255e-05
5.415688346074949067e+01 8.772141818888428417e-06
5.820993035548505645e+01 7.169812321405637791e-06
6.255213841364135874e+01 5.829916080608819082e-06
6.724553791476435549e+01 4.774394292435253409e-06
7.229012637032168698e+01 3.886680558515823985e-06
7.770657884193951759e+01 3.161289782666003911e-06
8.349489792490594198e+01 2.563725019617132461e-06
8.975844601023193547e+01 2.075975123888774918e-06
9.649722053697890090e+01 1.680805124373804555e-06
1.040006055604368953e+02 1.350814464364814342e-06
1.119998777865571782e+02 1.087754041193895613e-06
1.204950439692887585e+02 8.783306001338021519e-07
1.300028351152953405e+02 7.034402100145795267e-07
1.409986131639722942e+02 5.548913987725384146e-07
1.535030168980039775e+02 4.330754699112688413e-07
1.674953585427846008e+02 3.359252641418334868e-07
1.834923229236260909e+02 2.577295240833110764e-07
2.014938917197885360e+02 1.965293042268898353e-07
2.220167417493882738e+02 1.485165658131019615e-07
2.459908884511066844e+02 1.105764134153057594e-07
2.749250145234390743e+02 8.042852183226876057e-08
3.104724528533651551e+02 5.689790486894793310e-08
3.544931939697215171e+02 3.910365036921474472e-08
4.100872359122591320e+02 2.598806938233731475e-08
4.830412516685613582e+02 1.647970911182936195e-08
5.841019153749823545e+02 9.762748008324800489e-09
7.324892246924806614e+02 5.263373925304952750e-09
9.759431890709045092e+02 2.423082125121860379e-09
1.464917156154713439e+03 8.170138967009163305e-10
