RigidityGV Flux
5.397200560443871087e-01 1.336999752241656726e-03
6.759708130946376903e-01 2.444259273656719089e-03
8.545428097439339288e-01 4.365729261169881345e-03
1.079883498899597116e+00 7.173018422817317372e-03
1.245120581490075429e+00 9.240139108560283671e-03
1.420031121190498791e+00 1.112512060702050033e-02
1.609841195197431185e+00 1.271474665813017782e-02
1.815142602293098761e+00 1.382511939080745614e-02
2.035099914795028386e+00 1.424142820065382210e-02
2.275021927195209681e+00 1.409193572272320928e-02
2.534979266074875337e+00 1.337500789891951994e-02
2.820085051745132798e+00 1.227772474945311963e-02
3.130050618889645975e+00 1.093612662211343456e-02
3.464924740679387050e+00 9.519175256429899395e-03
3.830017079488091891e+00 8.117636026547775385e-03
4.225446792671961660e+00 6.838948721247649354e-03
4.654607195168426692e+00 5.723967922306920017e-03
5.124121414824065468e+00 4.759921029660562491e-03
5.633935875042411112e+00 3.939216375322541867e-03
6.184127463355893362e+00 3.254536380512466735e-03
6.779115381602349721e+00 2.677490550284775030e-03
7.425374435788143046e+00 2.191645988501193971e-03
8.120857729668202296e+00 1.786925249630050326e-03
8.869906896330899571e+00 1.454064975313194060e-03
9.681007424868029787e+00 1.181501562272916760e-03
1.055004889235866017e+01 9.619247895012704181e-04
1.150004526169009189e+01 7.818629928756385067e-04
1.249983633783115877e+01 6.376647939598104661e-04
1.354961709131549341e+01 5.221082651107446324e-04
1.469923501619157946e+01 4.252759582038949967e-04
1.595072094706231880e+01 3.453400184473298965e-04
1.729993870760169727e+01 2.799403213293138581e-04
1.874898358847203284e+01 2.267064991174745311e-04
2.029995795036276007e+01 1.836604446491956508e-04
2.195084647770638497e+01 1.488864827291114961e-04
2.375730306672024028e+01 1.201348492942065752e-04
2.569254619523789529e+01 9.686047877077460339e-05
2.775043343533890905e+01 7.823511812967750688e-05
2.995157401051998036e+01 6.323817703100130169e-05
3.229599162390800871e+01 5.118457556953750267e-05
3.480427114568650637e+01 4.147399681047997773e-05
3.749698208527117771e+01 3.356066172881648095e-05
4.039468319910577776e+01 2.717356700340086767e-05
4.349737962791369483e+01 2.201266107053697716e-05
4.680508223747406049e+01 1.783244905938771908e-05
5.035888764562896824e+01 1.442460253613787390e-05
5.415880022151908690e+01 1.167792171301754028e-05
5.820482852520088102e+01 9.471971937413631876e-06
6.255859142690808028e+01 7.676853657431073762e-06
6.724062464763747471e+01 6.243206548257494029e-06
7.229199676054416557e+01 5.058606852834446906e-06
7.769217444373819603e+01 4.124694043476387601e-06
8.350275828971217607e+01 3.367685789616276582e-06
8.974428015410222770e+01 2.725250055179434363e-06
9.649886327589469204e+01 2.202959891761812330e-06
1.039923330995006125e+02 1.765694821014283777e-06
1.119988525148512224e+02 1.414528810159181921e-06
1.204978981605546267e+02 1.140086663251783619e-06
1.300026912570736499e+02 9.095541918959368157e-07
1.410058935453976119e+02 7.142358457414455101e-07
1.535074754511026640e+02 5.548098709290016834e-07
1.675074179234758276e+02 4.281006497151827402e-07
1.834983687940075185e+02 3.266532864439908336e-07
2.015008376448538741e+02 2.475997934940778225e-07
2.219458837542410947e+02 1.861131079106723703e-07
2.459624773569974820e+02 1.375141834630790518e-07
2.749053650119709005e+02 9.922012867644637359e-08
3.104166519628567471e+02 6.958620790100802576e-08
3.545489638642967520e+02 4.730249754127389761e-08
4.099707134354483173e+02 3.111791049806693255e-08
4.830450721284235556e+02 1.945827755139999283e-08
5.840352001476610440e+02 1.135051466844794266e-08
7.324410974508834897e+02 6.000737397181530231e-09
9.760890888190214127e+02 2.691557250143993648e-09
1.465026555909409581e+03 8.738135239202170311e-10
