RigidityGV Flux
1.400864681430722680e-01 1.041698378836031225e+01
1.661646886170464466e-01 1.708853647818473931e+01
2.099382359990671076e-01 3.368753732207666474e+01
2.649831280976205905e-01 6.507874992975506245e+01
3.349679944949965349e-01 1.208454055888163055e+02
4.233820695083815311e-01 2.191763216485933867e+02
5.349777492995386741e-01 3.661921275305676318e+02
6.762429040541572123e-01 5.483564178588765117e+02
8.545112203087797953e-01 7.216847537296682731e+02
1.080031513846146929e+00 8.258339892632632200e+02
1.245005786293541750e+00 8.320087906167606207e+02
1.419983948169978527e+00 8.065680406369968978e+02
1.610022867514123268e+00 7.410593825258303013e+02
1.815105016702890373e+00 6.740156901678544727e+02
2.035422794378602518e+00 5.975181413309659320e+02
2.275413292594556491e+00 5.196163264701929165e+02
2.535217016821242453e+00 4.453442585425317475e+02
2.820291949981065027e+00 3.769205111748525496e+02
3.129650490113552674e+00 3.162317929701035837e+02
3.465501252630563300e+00 2.631566709195139993e+02
3.830018276256655252e+00 2.173970880970862254e+02
4.225350218843403560e+00 1.793675719246139124e+02
4.654646387269392172e+00 1.471614589285130137e+02
5.125093205106030503e+00 1.200444946323401325e+02
5.634686991768753650e+00 9.781640278933051036e+01
6.184502723514963662e+00 7.967166826687278558e+01
6.779653782262926143e+00 6.451911357137353775e+01
7.425225493291904399e+00 5.232385713638857538e+01
8.120244395934889781e+00 4.224761774284350224e+01
8.869783503460046958e+00 3.404181084592222817e+01
9.679905058232957771e+00 2.741189714059466453e+01
1.054962980962251606e+01 2.208176872414097858e+01
1.150005945094198090e+01 1.769009990776944008e+01
1.250311607029223637e+01 1.421853766731989843e+01
1.354581549124599604e+01 1.152861274136765601e+01
1.469835511302812314e+01 9.278475925014692649e+00
1.595069976971794112e+01 7.445314743790994783e+00
1.730285114274176550e+01 5.973993091154524038e+00
1.875481662403767658e+01 4.795534118036519189e+00
2.029659637729833577e+01 3.864630291569129295e+00
2.194822594777901514e+01 3.119543620474276580e+00
2.374974529590496175e+01 2.507791611723902747e+00
2.570115099756740662e+01 2.016976787703141039e+00
2.775241571446276723e+01 1.628127729140599111e+00
2.995358033676041387e+01 1.317415789511619417e+00
3.230464910205588325e+01 1.068277442133086952e+00
3.479562398342699225e+01 8.688381821378905467e-01
3.749653473915209645e+01 7.057082985339924175e-01
4.039737733208976778e+01 5.732074165400264931e-01
4.349815377687241380e+01 4.695441827462524254e-01
4.679886726727517043e+01 3.797280279306186612e-01
5.034953037543290577e+01 3.089136237933879370e-01
5.415014382784444535e+01 2.513778206786225766e-01
5.820070944712650629e+01 2.067195337516679332e-01
6.255123537508303855e+01 1.717771103653744635e-01
6.725172714645653116e+01 1.405017425861589397e-01
7.230218428129292363e+01 1.144528617060219799e-01
7.770260735614242265e+01 9.288317018330230490e-02
8.350300081839237976e+01 7.612788798207745233e-02
8.975336788250031361e+01 6.205427195145991892e-02
9.650371090726221723e+01 5.054159634100992282e-02
1.040340410437141401e+02 4.085890999314380212e-02
1.120343431659292577e+02 3.313361774559242523e-02
1.205346202275644885e+02 2.694151483060887656e-02
1.300348870198963027e+02 2.174062492876313937e-02
1.410351510343758150e+02 1.728248622552615993e-02
1.535354051300194271e+02 1.359850713801790886e-02
1.675356447020370467e+02 1.063200909663396601e-02
1.835358737446148325e+02 8.223755337953050221e-03
2.015360879466880704e+02 6.322050605180938414e-03
2.220362895986626768e+02 4.817979648919820668e-03
2.460364829795556716e+02 3.616215113309476266e-03
2.750366716196537027e+02 2.651551507791808423e-03
3.105368545774933295e+02 1.894553062887940941e-03
3.545370304931929581e+02 1.316045748633888233e-03
4.100371985418362328e+02 8.850773442337502928e-04
4.830373607773556159e+02 5.687601937238277467e-04
5.840375183667956662e+02 3.425705708399242612e-04
7.325376711526221243e+02 1.882782010982490849e-04
9.760378210623342738e+02 8.880362784335556236e-05
1.464937971571044955e+03 3.085479811733982922e-05
