RigidityGV Flux
5.797895616976658228e-01 9.416298543275813688e-04
6.762043077837540661e-01 1.421154207199046759e-03
8.546848731288662071e-01 2.532510001485672232e-03
1.079963954260719117e+00 4.128890676551854114e-03
1.244833308281408701e+00 5.271630812852927568e-03
1.420136397381122295e+00 6.291430122706803685e-03
1.609848422575294258e+00 7.062756362932567575e-03
1.814969463339422662e+00 7.538784455416294716e-03
2.034851382049027269e+00 7.695153790337643136e-03
2.275040051321389090e+00 7.487978865458185321e-03
2.534949661061963511e+00 7.011894544601326995e-03
2.819963324873540955e+00 6.313413622666921854e-03
3.129971308809965880e+00 5.501553378879421065e-03
3.464958162231647432e+00 4.730065108766476172e-03
3.829984821613766854e+00 3.989228318499031881e-03
4.224675961453935535e+00 3.362336565542790173e-03
4.654699562650501221e+00 2.814947306016297307e-03
5.124615227727853828e+00 2.337614082285529964e-03
5.634368089085781683e+00 1.935544760244882435e-03
6.184041814436821660e+00 1.597541048034528677e-03
6.780503148018499182e+00 1.312188795330863607e-03
7.426046135379767321e+00 1.073692106946403345e-03
8.120772319074330170e+00 8.739342341414627676e-04
8.869221949156935736e+00 7.104506670772807323e-04
9.680265600108389989e+00 5.753946766539520677e-04
1.054959922700282249e+01 4.692223196976607474e-04
1.149910261222432339e+01 3.812317950640984839e-04
1.250055598877073315e+01 3.115348144171507187e-04
1.354982559408580833e+01 2.559562064144773079e-04
1.469900707374963567e+01 2.089740517003110061e-04
1.595021891689475879e+01 1.699297223960243258e-04
1.729913913217481181e+01 1.381680609354858603e-04
1.875011198463244355e+01 1.119804696449889771e-04
2.030102256806271299e+01 9.093295918064360581e-05
2.194977292940393809e+01 7.387978816802300941e-05
2.374803472715915120e+01 5.979132657768096513e-05
2.570438810893968551e+01 4.822202547146486933e-05
2.774578072199281920e+01 3.911576909372355625e-05
2.995820695809073086e+01 3.165282739428616293e-05
3.229872505854495301e+01 2.569104699965267963e-05
3.481030620994685876e+01 2.086849599886383158e-05
3.749296298937117911e+01 1.694537345838182854e-05
4.038962322647479652e+01 1.375068382067810713e-05
4.350028710420279054e+01 1.116183279407204922e-05
4.680351445759404072e+01 9.056036360350918932e-06
5.034221686673691920e+01 7.351057825478680785e-06
5.415928847855845163e+01 5.968775195091057996e-06
5.819040559676552959e+01 4.886100229872662035e-06
6.254278604006456987e+01 3.988885253976448377e-06
6.725930378210208005e+01 3.275968946612246704e-06
7.229708066860116844e+01 2.621311253032622472e-06
7.769899535138108604e+01 2.148732629845581932e-06
8.350792087073236303e+01 1.739847694541120915e-06
8.974529247302281476e+01 1.408688397742324328e-06
9.649684502231987437e+01 1.138591528068873272e-06
1.039983336807142820e+02 9.136314028029144019e-07
1.119925578149929919e+02 7.344543271463322888e-07
1.205009563795783833e+02 5.915940997906883803e-07
1.299950206928556895e+02 4.726964745648905195e-07
1.410105033434118695e+02 3.715562797146323024e-07
1.535045101892734749e+02 2.890013268742290043e-07
1.674984514440898238e+02 2.232634179480506882e-07
1.835066317190282064e+02 1.704801861298367455e-07
2.015076014117373688e+02 1.293416709686722668e-07
2.220585162826578198e+02 9.716011077376124209e-08
2.460593912915880423e+02 7.185585267621871890e-08
2.749888144113684234e+02 5.187759547490609125e-08
3.105610727394493438e+02 3.637471657782225426e-08
3.544904390600834176e+02 2.476853469194875386e-08
4.099911997847619318e+02 1.627018745336220511e-08
4.830633633494260835e+02 1.016078612667826925e-08
5.839926474959204370e+02 5.915387128584451625e-09
7.324933390576535430e+02 3.114412304392321309e-09
9.759225888590902969e+02 1.389403294259926340e-09
1.464923270247717710e+03 4.457154937789660537e-10
