RigidityGV Flux
4.901494199421233544e-01 2.679998932928060948e-02
5.353725514047203982e-01 3.383604050639699851e-02
6.764260292419267406e-01 6.125001614516134563e-02
8.544511262385929840e-01 1.031944812351712482e-01
1.079979472609364111e+00 1.553571596268615573e-01
1.245153269675344010e+00 1.870424448370790471e-01
1.419879350992048206e+00 2.131813525857074454e-01
1.609858877481128658e+00 2.286485976994723779e-01
1.815052194310675882e+00 2.361550516553477530e-01
2.035016146035210305e+00 2.357529250457289227e-01
2.274897264776059913e+00 2.259688456913762911e-01
2.535057498569213585e+00 2.122624398699070603e-01
2.819972164206448362e+00 1.944403110876238294e-01
3.129898798455566844e+00 1.736441942076535627e-01
3.466036176609817332e+00 1.526671842941054735e-01
3.829915805944563711e+00 1.322990151600157704e-01
4.224435415055602050e+00 1.137237644594033953e-01
4.653958011048230148e+00 9.661309307697610316e-02
5.124876068351311709e+00 8.178346418452192568e-02
5.635011913524939686e+00 6.895572696999899276e-02
6.184480804192378223e+00 5.790030516859099446e-02
6.779680614084413470e+00 4.846706766998117727e-02
7.424831203821942616e+00 4.033101741154442726e-02
8.120014676476392523e+00 3.351191592594123664e-02
8.869443553955344228e+00 2.779984346478390350e-02
9.679333143070136813e+00 2.298788094661228382e-02
1.054975780572236665e+01 1.898298703150410466e-02
1.149905211414332129e+01 1.562495632675679237e-02
1.250093180548330274e+01 1.288880404066345374e-02
1.354951214422925254e+01 1.066874932715803845e-02
1.469940176554052869e+01 8.785092607783864457e-03
1.595056032745633701e+01 7.223769982235971054e-03
1.730097288823007062e+01 5.930489505274387160e-03
1.875066603145392108e+01 4.862544844741805046e-03
2.029968019431261794e+01 3.992803892138675065e-03
2.194404887615409905e+01 3.282664738796505551e-03
2.375003238562507946e+01 2.688340122022818066e-03
2.569554109629917704e+01 2.200130993747041915e-03
2.774050150536864479e+01 1.806370923489067620e-03
2.994509261141397971e+01 1.484036743345836266e-03
3.230932180411715393e+01 1.218181614748473952e-03
3.479314726389551282e+01 1.004619480741855610e-03
3.749673628978820972e+01 8.268642724094707030e-04
4.040005647884071749e+01 6.797496520140474622e-04
4.350311586369326022e+01 5.592031466321755644e-04
4.680592709748542291e+01 4.605766451947383234e-04
5.034853292161431426e+01 3.794915805121542728e-04
5.415095084193887232e+01 3.126461172128160333e-04
5.819317503893253019e+01 2.584928405808811910e-04
6.255525299713589504e+01 2.143220730644102066e-04
6.725719118341532976e+01 1.787567648737357396e-04
7.229898952372873566e+01 1.476476506490225252e-04
7.770065738376888476e+01 1.215453327766883966e-04
8.350220847429748972e+01 9.893799223808709571e-05
8.974365332349469782e+01 8.228588450575034265e-05
9.650500770041438159e+01 6.761162274412192219e-05
1.040063042949178111e+02 5.521485784939949079e-05
1.120074959234382561e+02 4.516597046159771171e-05
1.205085886611947643e+02 3.703757399737341331e-05
1.300096408557113250e+02 3.014900724703573740e-05
1.409906803111119018e+02 2.420140038757593231e-05
1.534916826334253130e+02 1.922862509989694066e-05
1.674926276140420214e+02 1.518508979998136437e-05
1.834935310166550835e+02 1.186817028724851569e-05
2.014943758454616329e+02 9.222176723855875054e-06
2.220551732541459842e+02 7.100499024191691061e-06
2.460559355081376509e+02 5.390832559757839706e-06
2.750566790860763149e+02 4.001352165560115298e-06
3.104573984766644230e+02 2.897874374060820174e-06
3.544580923376336159e+02 2.039007455731167229e-06
4.100587561591640906e+02 1.388077476619539302e-06
4.830593956943729381e+02 9.031016326485901455e-07
5.840600169239945672e+02 5.503948074889717528e-07
7.324606189030687347e+02 3.060177137710187271e-07
9.760612101999058723e+02 1.459670344737489059e-07
1.465061803624755385e+03 5.152850386628460468e-08
