RigidityGV Flux
4.802530916899653279e-01 4.561102002663380839e-03
5.349759164314419335e-01 6.153735264635033959e-03
6.759269197460354706e-01 1.132432592013334072e-02
8.544698255571450130e-01 1.953080170753743877e-02
1.079897713129406522e+00 3.069960588044695626e-02
1.244812736680401821e+00 3.787912482017483096e-02
1.420053591643404722e+00 4.428146866595161768e-02
1.610160772842982757e+00 4.870520149821961492e-02
1.815116941506671022e+00 5.138074060305778540e-02
2.035014965475555382e+00 5.136475950954936393e-02
2.274948575210688606e+00 4.980667121424053878e-02
2.534951011148731670e+00 4.705451951394203081e-02
2.819975344336106637e+00 4.279185006412416364e-02
3.129958553461760218e+00 3.810153576734298664e-02
3.464919157505151226e+00 3.332380856451343243e-02
3.828856296956734795e+00 2.863908917292333142e-02
4.226090207233021090e+00 2.431465746225492525e-02
4.655395073300089948e+00 2.040175825479100327e-02
5.125838758750488111e+00 1.701197602937382786e-02
5.635121106263454749e+00 1.409874640459200280e-02
6.185552384779796853e+00 1.163291027193740640e-02
6.779442153716269459e+00 9.572604279100572697e-03
7.425579624154746483e+00 7.839257090955481511e-03
8.119706621557208237e+00 6.400867170458258808e-03
8.870547077908192080e+00 5.218911218519843402e-03
9.680314985908751169e+00 4.236422833176703082e-03
1.054910533112323812e+01 3.446350946421339236e-03
1.150036396504604674e+01 2.792908870007201026e-03
1.250020883030783381e+01 2.274044449543194575e-03
1.355096183591134107e+01 1.856538814752337020e-03
1.469919602396761960e+01 1.511847164867124917e-03
1.594909597681103364e+01 1.224059026609771676e-03
1.730065515498541018e+01 9.894051198520669149e-04
1.874969048703065511e+01 7.998879058827102016e-04
2.030045160864312592e+01 6.472414481987027665e-04
2.195088644466522965e+01 5.241744903411893908e-04
2.375979276180472155e+01 4.221150078812984036e-04
2.571036646066322717e+01 3.400303295525996280e-04
2.774393409446126668e+01 2.753599698604037162e-04
2.994439524758022841e+01 2.226885933067751489e-04
3.229080257180201130e+01 1.800202885568445710e-04
3.480412444428282015e+01 1.456571910976690116e-04
3.750531355221463770e+01 1.179736804191545356e-04
4.039437826972000778e+01 9.553202908562315773e-05
4.349226282021494683e+01 7.731524950582351421e-05
4.679897628004366794e+01 6.263608964869283528e-05
5.035638141889107544e+01 5.075174292082373917e-05
5.414355872338269648e+01 4.119228451463923950e-05
5.820236308351930177e+01 3.360967608493872121e-05
6.255371911435828025e+01 2.750845397085810264e-05
6.726038491765547178e+01 2.188637503555655863e-05
7.230144082092961355e+01 1.769992622298282691e-05
7.769780734258696953e+01 1.470828885517803127e-05
8.349131869812352136e+01 1.190319492314033147e-05
8.974471922559543202e+01 9.622577667736770835e-06
9.649983454398582694e+01 7.770158855650020799e-06
1.040076165750916459e+02 6.230733732160796798e-06
1.119961897565631546e+02 5.007818177301495359e-06
1.205073856223940254e+02 4.033320596713248069e-06
1.300012621168215787e+02 3.223959671779373540e-06
1.410005819036390164e+02 2.536307424984701640e-06
1.535053139210453423e+02 1.973821699654565566e-06
1.674945276011317219e+02 1.526381470772488779e-06
1.834909692627048514e+02 1.167086257538732891e-06
2.014946200620182424e+02 8.866543739739528897e-07
2.219027584545771106e+02 6.683550152840065537e-07
2.459490486376903959e+02 4.949004957529874219e-07
2.750134999778765064e+02 3.576721161295551704e-07
3.105597438931041552e+02 2.516435097766203348e-07
3.544695913336345825e+02 1.720469100528418027e-07
4.100884988529583666e+02 1.135108010213606448e-07
4.830619248060410769e+02 7.139388038040696873e-08
5.840535128282139112e+02 4.190909970034852952e-08
7.325087164367768082e+02 2.232604105532772298e-08
9.761002717079782087e+02 1.011693363178753603e-08
1.464955465589317328e+03 3.337318117643985416e-09
