RigidityGV Flux
5.102038125478876029e-01 5.196162711359547486e-03
5.353725514047203982e-01 5.935748598122046922e-03
6.764260292419267406e-01 1.082205027807754162e-02
8.544511262385929840e-01 1.860632300250546559e-02
1.079979472609364111e+00 2.889485900376868172e-02
1.245153269675344010e+00 3.556322389620390073e-02
1.419879350992048206e+00 4.138249309004785048e-02
1.609858877481128658e+00 4.558200410859233193e-02
1.815052194310675882e+00 4.824426909571828681e-02
2.035016146035210305e+00 4.876981567808081480e-02
2.274897264776059913e+00 4.782587553076042552e-02
2.535057498569213585e+00 4.524020697224311743e-02
2.819972164206448362e+00 4.167592890841538555e-02
3.129898798455566844e+00 3.730552434353701791e-02
3.466036176609817332e+00 3.278134951915105677e-02
3.829915805944563711e+00 2.834881735476811257e-02
4.224435415055602050e+00 2.418498526687230463e-02
4.653958011048230148e+00 2.048537909918498462e-02
5.124876068351311709e+00 1.717158773262789442e-02
5.635011913524939686e+00 1.434326974362117556e-02
6.184480804192378223e+00 1.195952503501714406e-02
6.779680614084413470e+00 9.927873414515838574e-03
7.424831203821942616e+00 8.196187785196396361e-03
8.120014676476392523e+00 6.751781677125726251e-03
8.869443553955344228e+00 5.547943939203865346e-03
9.679333143070136813e+00 4.554632808964319442e-03
1.054975780572236665e+01 3.728582540171462064e-03
1.149905211414332129e+01 3.047813201710574803e-03
1.250093180548330274e+01 2.495325393090277403e-03
1.354951214422925254e+01 2.050091200701626305e-03
1.469940176554052869e+01 1.678109252346150163e-03
1.595056032745633701e+01 1.368198950831116039e-03
1.730097288823007062e+01 1.114312824360541099e-03
1.875066603145392108e+01 9.074357564914593745e-04
2.029968019431261794e+01 7.396462829535211270e-04
2.194404887615409905e+01 6.039839257626722444e-04
2.375003238562507946e+01 4.903850290796268104e-04
2.569554109629917704e+01 3.981102475857182252e-04
2.774050150536864479e+01 3.247483252867111158e-04
2.994509261141397971e+01 2.645153334659079334e-04
3.230932180411715393e+01 2.157246042340838930e-04
3.479314726389551282e+01 1.765474740606492044e-04
3.749673628978820972e+01 1.442651367113495454e-04
4.040005647884071749e+01 1.178285852251438284e-04
4.350311586369326022e+01 9.622562585688632987e-05
4.680592709748542291e+01 7.871733339297049665e-05
5.034853292161431426e+01 6.442143965070159909e-05
5.415095084193887232e+01 5.272021156479550507e-05
5.819317503893253019e+01 4.323071216278752041e-05
6.255525299713589504e+01 3.556425116973586193e-05
6.725719118341532976e+01 2.934396596778384987e-05
7.229898952372873566e+01 2.392279260930817904e-05
7.770065738376888476e+01 1.985735563846126962e-05
8.350220847429748972e+01 1.627162560470689760e-05
8.974365332349469782e+01 1.331652932601756172e-05
9.650500770041438159e+01 1.087742584196978778e-05
1.040063042949178111e+02 8.829765804945073390e-06
1.120074959234382561e+02 7.181274010988443956e-06
1.205085886611947643e+02 5.856352136675031439e-06
1.300096408557113250e+02 4.740297067912830265e-06
1.409906803111119018e+02 3.782606727104320101e-06
1.534916826334253130e+02 2.987171385075151968e-06
1.674926276140420214e+02 2.345050649994045491e-06
1.834935310166550835e+02 1.822094082747760491e-06
2.014943758454616329e+02 1.407656374300120948e-06
2.220551732541459842e+02 1.077770590343339212e-06
2.460559355081376509e+02 8.138661969279338446e-07
2.750566790860763149e+02 6.008894838695341723e-07
3.104573984766644230e+02 4.329837797292722861e-07
3.544580923376336159e+02 3.032780795569467346e-07
4.100587561591640906e+02 2.056579748830952552e-07
4.830593956943729381e+02 1.334064818265704524e-07
5.840600169239945672e+02 8.116282853075066774e-08
7.324606189030687347e+02 4.512271279834027953e-08
9.760612101999058723e+02 2.157502239189811678e-08
1.465061803624755385e+03 7.663159805650958980e-09
