RigidityGV Flux
5.903311900921688338e-01 3.681507740484561784e-03
6.761596539014184115e-01 5.250751148143785116e-03
8.545852384524861289e-01 9.235724007179086162e-03
1.080209994471019952e+00 1.491971137985502113e-02
1.245058705927684528e+00 1.888102656041483821e-02
1.419830662275633149e+00 2.231799099867679687e-02
1.610115680152115258e+00 2.484528774228206630e-02
1.815051371892186571e+00 2.622052786132072003e-02
2.035011183480514241e+00 2.638119160199762711e-02
2.275025923393383831e+00 2.548549348971675468e-02
2.535060324984045987e+00 2.364641471030327208e-02
2.820025219787265502e+00 2.119875074366976003e-02
3.130060383192123652e+00 1.852365194424487882e-02
3.465119087932481801e+00 1.587279168165296739e-02
3.830598899224173959e+00 1.342878097390050839e-02
4.224140612502178094e+00 1.127622805651698305e-02
4.656126473412538935e+00 9.415111070521623576e-03
5.124018025209938543e+00 7.816291753917153917e-03
5.634862349258055403e+00 6.448965621355580782e-03
6.184042407864426494e+00 5.316956657536032853e-03
6.780879086261990984e+00 4.356553156027597080e-03
7.425426137440306995e+00 3.559181055960221936e-03
8.120059420852973275e+00 2.896470293146503980e-03
8.869390005599584015e+00 2.349694559686635841e-03
9.680215418380202053e+00 1.901972636365693902e-03
1.055038493245511688e+01 1.545156186156488014e-03
1.149996428910032442e+01 1.253015376616977740e-03
1.250021315132628175e+01 1.020903722763277918e-03
1.354913736952174652e+01 8.350863442896192413e-04
1.469979501713961234e+01 6.800717469336405637e-04
1.594993578601937578e+01 5.518175226380815949e-04
1.729956141232949918e+01 4.467868605894928578e-04
1.875089585027959416e+01 3.612800000585967468e-04
2.029959438740887734e+01 2.923696689819692729e-04
2.195010057916126556e+01 2.368199466371048690e-04
2.375064572097759807e+01 1.909315582888643898e-04
2.569026850549234808e+01 1.538894372090242909e-04
2.774711088985081986e+01 1.244304659485668120e-04
2.995621566051725537e+01 1.007300732312839311e-04
3.229573931164591727e+01 8.182011191728239344e-05
3.480943534006494389e+01 6.647588813940523010e-05
3.749731446655705724e+01 5.401449050507588218e-05
4.040308563590446767e+01 4.385394848119264955e-05
4.350490547451418877e+01 3.559610335583723785e-05
4.680279081448053091e+01 2.896058866964022524e-05
5.034043312455536068e+01 2.359695855307414702e-05
5.413967241874572522e+01 1.919660577510818688e-05
5.820051320647082349e+01 1.559517671114859849e-05
6.254479400695390723e+01 1.269964252022011210e-05
6.725983433233034248e+01 1.030227211970271442e-05
7.230197426059355337e+01 8.411586155475302300e-06
7.769304610492250163e+01 6.840774291848162702e-06
8.349852976690786477e+01 5.551404552050671531e-06
8.974024935979390705e+01 4.516638942449633150e-06
9.650549843303197406e+01 3.658647010260974307e-06
1.039906746827434318e+02 2.945402952559731560e-06
1.119993671317896968e+02 2.368638102772146774e-06
1.205097599458081135e+02 1.908995349818655462e-06
1.300019200857641692e+02 1.526269110482364163e-06
1.409995225881937984e+02 1.200835718438690410e-06
1.535025336216140488e+02 9.343633845216015691e-07
1.674891115405887376e+02 7.222989094728387941e-07
1.835047330473676368e+02 5.517361113237374387e-07
2.015057383408824876e+02 4.187938669599871216e-07
2.219503187048219672e+02 3.151886393533706494e-07
2.459512266622211882e+02 2.331805839225027075e-07
2.749702946074856982e+02 1.682468828231284398e-07
3.105347911169483837e+02 1.180217005478954202e-07
3.546083449486854420e+02 8.030968311768376397e-08
4.100273139117600749e+02 5.281954638512352080e-08
4.829008012644462156e+02 3.304504936708692180e-08
5.839197229504284223e+02 1.923673195633280731e-08
7.325022585460876599e+02 1.012876734697897298e-08
9.759938710223348153e+02 4.519522991123829504e-09
1.464940031820955255e+03 1.448950290537989270e-09
