RigidityGV Flux
6.102096789088615747e-01 1.859449809489991529e-03
6.758613887357642902e-01 2.426071215430994354e-03
8.546956287601297220e-01 4.277070651237163158e-03
1.080230953651544423e+00 6.941873620480457259e-03
1.244862626208204981e+00 8.747750035241750807e-03
1.420012868334451506e+00 1.031911269448477879e-02
1.610171173871015160e+00 1.154751393570186378e-02
1.814883086498804587e+00 1.218853669627802290e-02
2.035152822351530499e+00 1.226737186959216304e-02
2.275116951204778637e+00 1.185073856531724742e-02
2.535052804545769423e+00 1.099039153477236394e-02
2.819957790622503069e+00 9.867594854946596522e-03
3.129945157513438492e+00 8.603335302488478858e-03
3.464943250621445259e+00 7.378677216742564153e-03
3.830187590500665262e+00 6.237983304808484772e-03
4.224007561033364055e+00 5.234258541735951550e-03
4.654517095548106553e+00 4.374769676091508873e-03
5.123978930845373370e+00 3.636722529910953877e-03
5.634717627769867399e+00 3.006416095664387039e-03
6.184424851055995376e+00 2.481149466211442049e-03
6.780249303059135535e+00 2.037846812770779340e-03
7.424579015509293889e+00 1.664358075915669481e-03
8.119812104139173314e+00 1.354903010823075475e-03
8.870625697738645954e+00 1.101083596259022288e-03
9.679388779543497634e+00 8.936482482531120028e-04
1.055073217480536307e+01 7.279852550502724636e-04
1.150052227932838989e+01 5.935399040233049154e-04
1.249954574990504952e+01 4.865265972004044004e-04
1.355027263817542682e+01 4.004886333731973733e-04
1.469991122949230622e+01 3.282121022915465247e-04
1.595065833829560553e+01 2.680613660499765109e-04
1.730027563170069627e+01 2.184486240600296925e-04
1.875102629609236971e+01 1.778262065041715250e-04
2.030072489715428929e+01 1.447557277952618473e-04
2.194943078015659310e+01 1.179581693021612368e-04
2.375062548869955847e+01 9.571953818758424301e-05
2.570873475268702890e+01 7.739044835422579196e-05
2.775482415070849740e+01 6.288827056148808836e-05
2.995566645299234310e+01 5.107353864545714637e-05
3.228905630704942809e+01 4.157800150579443868e-05
3.479946067139906773e+01 3.381338644429438721e-05
3.750909530799943070e+01 2.746707330768243733e-05
4.039575928638407731e+01 2.235348159995588960e-05
4.350387290823898212e+01 1.815210821348726530e-05
4.678904934464391374e+01 1.479242556639401751e-05
5.034008703145565278e+01 1.203774504888954034e-05
5.415698302867058089e+01 9.774530944021566929e-06
5.819536567676967564e+01 7.956169928425798721e-06
6.254399894380952674e+01 6.469964195560345036e-06
6.724725204774264853e+01 5.245797434069197972e-06
7.230512166593734946e+01 4.296794124971455690e-06
7.769542811375670510e+01 3.531334233355426413e-06
8.350690304768444605e+01 2.868022459241961051e-06
8.973954596577081588e+01 2.327139763769780637e-06
9.650425505263545745e+01 1.882124067312036036e-06
1.040006304019964745e+02 1.512159515190935729e-06
1.120068787062216273e+02 1.216442945108254564e-06
1.205008295076618907e+02 9.807826433427690648e-07
1.299925565883972922e+02 7.840157099739673466e-07
1.409920974291322864e+02 6.166698543110185095e-07
1.534994169603619696e+02 4.796175573660091650e-07
1.674923169159005738e+02 3.705489086478073590e-07
1.835029932026343999e+02 2.828838930735077321e-07
2.015092492277611029e+02 2.145270646174623154e-07
2.219989218311447416e+02 1.611883142083490364e-07
2.459698581883815507e+02 1.191382118085156747e-07
2.750186002376615306e+02 8.578388998083406017e-08
3.104977473468487119e+02 6.008304542905658579e-08
3.544029462371605632e+02 4.080485599886673695e-08
4.100602849021409497e+02 2.667085888208382455e-08
4.830132444920276384e+02 1.657964414456858498e-08
5.839053119117071446e+02 9.579509271415466496e-09
7.324712702682733152e+02 4.985636250613278122e-09
9.759415620004130005e+02 2.185553055866634882e-09
1.465098813485344863e+03 6.789630671240137029e-10
